,SchoolName,LastUpdate,LastUpdateAgreed,CumulativeCases,CumulativeCasesAgreed,TotalTests,TotalTestsAgreed,TotalResponses
154,University of Wisconsin Madison,2020-11-18 00:00:00,3,3431,4,113791,5,5
155,University of Southern California,,,852,2,852,2,3
156,Valparaiso University,2020-11-19 00:00:00,5,117,5,,,5
157,Vanderbilt University,2020-11-15 00:00:00,2,736,2,82650,3,5
158,Vassar ,2020-11-19 00:00:00,5,47,5,15700,5,5
159,Villanova University ,2020-11-18 00:00:00,5,386,5,9088,5,5
160,Virginia Commonwealth University,2020-11-19 00:00:00,4,441,4,9761,5,5
161,Virginia Tech,2020-11-19 00:00:00,5,1683,5,37248,5,5
162,Wake Forest,2020-11-19 00:00:00,5,559,3,6901,4,5
163,Washington University in St. Louis,2020-11-18 00:00:00,4,232,3,8422,3,5
164,Wesleyan University,2020-11-19 00:00:00,5,47,4,72055,4,5
165,Western Kentucky,2020-11-17 00:00:00,2,904,5,11857,5,5
166,William Paterson University ,2020-11-13 00:00:00,5,48,4,,,5
167,Williams University,2020-11-19 00:00:00,5,10,5,42279,5,5
168,Wooster,2020-11-16 00:00:00,3,130,3,6510,3,5
169,Worcester Polytechnic Institute,,,38,3,32263,3,5
170,Yale,2020-11-19 00:00:00,4,248,5,,,5
