,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-04-12,3667,272,3542,1280,22805,7307,12035,1625,1875,19895,12452,133,499,1407,20852,7928,1587,1344,1963,20595,633,8225,25475,24244,1621,2781,4352,387,791,2836,929,61850,1245,189033,4570,308,6604,1970,1527,22938,897,2665,3320,730,5508,13780,2303,727,51,5274,10609,593,3341,270
2020-04-13,3870,277,3705,1410,23946,7691,13381,1758,1955,21019,13315,133,504,1426,22025,8359,1710,1390,2018,21016,698,8936,26867,25635,1621,2942,4568,394,814,2990,985,64584,1262,195749,4886,331,6975,2069,1584,24292,903,2665,3391,868,5610,14328,2363,748,51,5747,10635,611,3428,275
2020-04-14,4041,285,3809,1498,25373,7950,13989,1926,2058,21628,14578,133,511,1464,23248,8527,1899,1441,2048,21518,735,9472,28164,27001,1695,3087,4815,399,897,3134,922,68824,1345,203020,5113,341,7285,2184,1633,25465,923,3251,3553,988,5827,15088,2417,752,51,6182,10799,640,3555,282
2020-04-15,4307,293,3964,1569,26699,7956,14755,2014,2197,22511,14987,135,524,1473,24593,8960,1995,1504,2210,21951,770,10032,29918,28059,1809,3360,4876,404,901,3211,1139,71030,1484,214454,5340,365,7794,2263,1663,26753,974,3251,3656,1168,5827,16044,2548,759,51,6500,10942,702,3721,287
2020-04-16,4465,300,4237,1620,27687,8286,15884,2070,2350,23343,15669,135,530,1587,25734,9542,2141,1615,2435,22532,796,10784,32181,28809,1809,3624,5265,415,952,3214,1139,75317,1484,223691,5639,393,8414,2357,1736,28258,1043,3529,3931,1311,6375,16985,2683,774,51,6889,11057,728,3875,296
2020-04-17,4557,309,4511,1695,29470,8691,16809,2317,2476,24759,17194,136,541,1609,27578,10154,2332,1730,2522,23118,827,11572,34402,30023,2070,3793,5469,422,1066,3524,1287,78467,1597,230597,6045,393,9107,2465,1785,29888,1068,4177,4099,1411,6263,17925,2793,779,51,7491,11517,775,4053,305
2020-04-18,4788,314,4724,1744,30785,9047,17550,2538,2666,25492,17669,136,574,1655,29160,10641,2513,1821,2707,23580,847,12326,36372,30791,2209,3974,5652,426,1249,3626,1342,81420,1798,241712,6328,528,10222,2465,1844,31652,1118,4491,4248,1542,6589,18724,2917,803,53,8053,11776,785,4199,309
2020-04-19,4978,319,4933,1781,31660,9730,17962,2538,2793,26314,18301,136,580,1668,30357,11211,2902,1905,2960,23928,867,12847,38077,31424,2356,4274,5808,433,1474,3728,1390,85301,1845,247815,6601,585,11602,2567,1910,32902,1213,4706,4377,1635,7070,19282,3069,813,53,8542,12255,890,4346,313
2020-04-20,5163,321,5068,1973,33946,9730,19815,2745,2927,27059,19407,136,584,1672,31513,11688,3159,2048,3050,24523,875,13684,38077,32000,2470,4512,5953,433,1648,3830,1447,88722,1971,253060,6895,627,12919,2680,1957,33914,1252,5090,4446,1685,7238,19847,3213,816,53,8990,12114,902,4499,317
2020-04-21,5404,329,5256,1990,35778,10473,20360,2931,3098,27869,19881,136,586,1736,33059,12097,3641,2164,3204,24854,888,14193,41199,32667,2567,4716,6162,437,1685,3937,1490,92387,1971,258361,7134,644,13725,2807,2004,35249,1298,5500,4439,1755,7394,20785,3297,818,53,9630,12392,908,4625,443
2020-04-22,5692,335,5473,2276,37731,10891,22469,3200,3206,28309,21214,136,592,1766,35107,12438,3748,2331,3378,25258,907,14775,42944,33966,2722,4894,6376,439,1813,4081,1588,95914,2210,263292,7495,679,14117,2894,2059,36082,1252,5841,4761,1858,7394,21577,3445,823,54,10266,12596,939,4845,447
2020-04-23,5899,337,5772,2599,39946,11278,23100,3308,3361,29648,21883,139,596,1836,36937,13039,3924,2721,3479,25739,937,15737,46023,35296,2942,5153,6593,442,2202,4208,1670,100025,2379,263460,7820,709,14694,3017,2127,38379,1416,6256,4917,1956,8266,22797,3612,825,54,10998,12753,981,5052,453
2020-04-24,6092,339,6045,2810,41803,12256,23936,3442,3528,30533,22491,141,601,1870,39658,13681,4445,2959,3779,26140,965,16616,50969,36641,3185,5434,6867,444,2424,4398,1720,102196,2521,271590,8290,748,15169,3121,2177,40208,1276,6699,5070,2040,8728,23772,3782,827,54,11594,12977,1010,5356,473
2020-04-25,6274,339,6286,2911,42771,12968,24583,3576,3699,30839,23222,141,605,1887,41777,14399,5092,3135,3915,26512,965,17766,53348,37074,3446,5718,7012,445,2719,4539,1797,105498,2660,282143,8768,803,15587,3194,2253,41153,1307,7129,5253,2147,9189,24287,3948,843,55,12366,13319,1010,5687,491
2020-04-26,6475,340,6534,3001,43887,13441,25269,4034,3841,31532,23486,141,606,1897,43903,15012,5476,3277,4085,26773,1015,18581,54938,37778,3602,5911,7192,448,3028,4734,1864,109038,2726,288045,8997,867,15972,3254,2311,42616,1371,7439,5498,2212,9667,25051,4123,851,57,12970,13521,1055,5912,502
2020-04-27,6621,345,6725,3069,45381,13879,25997,4162,3892,32138,24302,141,607,1897,45883,15961,5868,3473,4156,27068,1023,19487,56462,38210,3811,6094,7376,449,3358,4700,1938,111188,2825,291996,9321,942,16325,3281,2354,43558,1389,7708,5613,2244,9918,25565,4236,855,57,13538,13686,1063,6081,520
2020-04-28,6820,351,6955,3127,46714,14316,26312,4575,3994,32848,24922,141,609,1952,48102,16588,6376,3652,4375,27286,1040,20113,58302,39262,4181,6342,7515,451,3517,4821,2010,113856,2974,295106,9755,991,16769,3410,2385,45137,1400,7927,5735,2313,10052,26506,4345,862,57,14339,13842,1095,6289,536
2020-04-29,6979,355,7209,3193,49310,14758,26767,4655,4106,33193,25775,141,613,1952,50358,17182,6843,3839,4537,27660,1056,20849,60265,40399,4644,6569,7760,451,3851,4934,2058,116365,3213,299691,10180,1033,17303,3473,2446,46327,1433,8247,5882,2373,10366,27542,4497,862,57,14962,14070,1110,6520,545
2020-04-30,7187,355,7655,3281,50712,15284,27700,4734,4323,33690,26264,145,618,1984,52918,17835,7145,4413,4708,28001,1095,21742,62205,41379,5136,6815,7952,453,4281,5053,2146,118652,3411,304372,10754,1067,18027,3618,2510,47971,1539,8621,6095,2449,10735,28890,4672,866,66,15847,14327,1125,6854,559
2020-05-01,7440,364,7969,3337,52536,15793,28764,4918,4658,34728,27489,145,619,2015,56055,18630,7884,4634,4882,28711,1123,23472,64311,42356,5730,7212,8283,453,5008,5248,2310,121203,3513,308314,11070,1107,18743,3748,2579,49579,1575,8962,6258,2525,11891,29970,4828,879,66,16902,14637,1152,7314,566
2020-05-02,7700,365,8364,3372,53833,16225,29287,5038,4797,35463,28331,145,620,2061,58505,19295,8643,4885,4879,29140,1153,24473,66263,43207,6232,7441,8526,455,5317,5389,2429,123735,3732,312977,11588,1153,19335,3851,2635,50494,1757,9289,6489,2588,12661,31126,4985,886,66,17738,15003,1185,7660,579
2020-05-03,7977,368,8640,3437,55323,16635,29287,5208,5016,36078,28665,145,620,2061,61499,19933,9175,5156,5130,29340,1185,25462,68087,43801,6663,7550,8695,455,5661,5472,2518,126763,3850,316415,11770,1191,19914,3972,2680,51225,1808,9477,6626,2631,13177,32123,5175,897,66,18672,15185,1195,7964,586
2020-05-04,8203,370,8924,3491,56419,16918,29973,5288,5170,36897,29451,145,621,2106,63777,20507,9703,5383,5245,29673,1205,26408,69087,43990,7234,7877,9017,457,6037,5630,2588,128296,4031,318953,11971,1225,20474,4044,2759,52816,1843,9652,6757,2668,13571,32889,5317,902,66,19493,15462,1224,8236,596
2020-05-05,8520,371,9305,3525,59039,17367,30621,5371,5322,37439,29998,145,625,2127,65889,21033,10111,5648,5822,29996,1226,27117,70271,44451,7851,8207,9203,456,6373,5660,2636,130628,4138,321192,12510,1266,20969,4127,2839,53864,1924,9933,6841,2721,13690,34137,5449,907,66,20257,15594,1246,8566,604
2020-05-06,8769,372,9707,3611,61245,17832,30995,5778,5461,38002,30743,149,626,2158,68232,21870,10404,5993,5934,30399,1254,28163,72025,45179,8579,8424,9408,456,6689,5741,2741,131928,4291,323978,13053,1323,21576,4202,2916,54800,1968,10205,6936,2780,13938,35225,5595,908,66,20257,15905,1242,8901,631
2020-05-07,9115,374,9945,3703,62869,18370,31784,5939,5654,38828,31618,149,629,2178,70871,22503,11059,6332,6129,30652,1330,29374,73721,45745,9365,8686,9621,456,7334,5855,2843,134037,4493,327469,13540,1371,22131,4330,2989,55956,2031,10530,7142,2906,14096,36244,5724,916,66,21570,16231,1287,9215,635
2020-05-08,9437,377,10526,3747,64543,18827,32411,6111,5899,39199,32181,151,629,2178,73760,23146,11457,6667,6288,30855,1374,30485,75333,46386,10088,9090,9762,458,7818,5920,2947,135899,4673,330407,14006,1425,23016,4424,3068,57371,2156,10779,7367,3145,14441,37530,5919,919,68,22342,16388,1323,9590,644
2020-05-09,9720,378,10960,3747,67271,19375,32984,6277,6102,40001,32588,151,631,2205,76085,23732,11671,6829,6440,31417,1408,31534,76743,46815,10790,9378,9937,458,8093,6171,3011,137464,4778,333122,14478,1464,23697,4490,3160,58560,2173,10989,7531,3393,14768,38983,6103,921,68,23196,16674,1323,9939,653
2020-05-10,9982,379,11119,4012,68231,19703,33554,6277,6272,40596,33580,151,632,2230,77741,24126,11959,6951,6440,31600,1436,32587,77793,47182,11271,9501,10076,458,8171,6120,3071,138823,4863,335395,14938,1491,24081,4589,3228,59939,2198,11274,7653,3517,14985,39807,6251,927,69,24081,16891,1360,10219,662
2020-05-11,10262,379,11383,4043,70039,19879,33765,6565,6389,40982,34002,151,634,2260,79007,24627,12373,7159,6677,31815,1462,33373,78462,47552,11799,9674,10172,459,8407,6152,3160,140289,5069,337055,15274,1518,24777,4613,3286,60459,2256,11450,7792,3614,15544,40701,6362,926,69,25070,17122,1366,10418,669
2020-05-12,10566,383,11736,4164,71768,20157,34333,6741,6485,41923,34924,152,635,2293,83021,25127,12912,7240,6853,32050,1477,34061,79332,48021,12494,9908,10294,461,8532,6313,3239,141016,5212,338485,15622,1571,25250,4732,3358,61310,2299,11614,7927,3663,16111,42030,6432,927,69,25800,17330,1378,10611,675
2020-05-13,10822,383,12216,4236,73603,20475,34855,6952,6584,42402,35427,152,638,2293,84694,25473,13289,7518,6853,32662,1515,34812,80497,48391,12917,10090,10433,462,8912,6476,3299,141673,5364,340661,16352,1647,25721,4858,3416,62101,2329,11835,8030,3732,16370,43456,6620,929,69,26746,17512,1398,10902,688
2020-05-14,11161,383,12674,4366,75580,20838,35464,7223,6736,43210,35977,152,637,2351,87937,26053,13675,7705,7225,33489,1565,35903,82182,49582,13435,10483,10624,462,9260,6504,3382,142834,5503,343051,16968,1712,26357,4963,3479,63105,2427,12016,8189,3792,16699,44701,6749,932,69,27813,17773,1427,11275,701
2020-05-15,11494,388,13169,4463,77427,21232,36085,7373,6871,44138,36772,154,638,2351,90369,26656,14049,7886,7444,33837,1603,36986,83421,50079,14240,10801,10818,466,9610,6733,3453,144124,5662,345813,17494,1761,26954,5087,3541,64136,2542,12219,8407,3887,16960,45891,6913,933,69,28672,17951,1447,11685,716
2020-05-16,11828,388,13666,4578,79471,21633,36703,7547,7042,44811,37212,154,639,2419,92457,27280,14328,7939,7688,34117,1648,37968,84933,50538,14969,11123,10997,468,10220,6813,3556,145233,5847,348232,18130,1848,27474,5237,3612,65185,2589,12434,8661,3959,17263,47650,7068,934,69,29683,18288,1470,12187,741
2020-05-17,12137,388,13945,4759,80809,21938,37419,7670,7123,45588,37579,154,640,2419,94191,27778,14651,7953,7688,34432,1687,38804,86010,51142,15668,11296,11130,468,10177,6949,3596,146653,5938,350121,18673,1900,27923,5310,3623,65700,2646,12674,8816,3987,17359,48630,7238,940,69,30388,18433,1492,12543,754
2020-05-18,12438,388,14208,4813,82259,22202,38116,7869,7270,46442,38283,154,640,2455,96485,28255,14955,8303,7935,34709,1713,39762,87052,51915,16372,11432,11261,470,10625,7061,3652,148401,6096,351371,19207,1931,28454,5398,3687,66669,2710,12795,8942,4027,18011,49400,7384,940,69,31140,18611,1502,12687,766
2020-05-19,12825,400,14576,4923,84623,22482,38430,8037,7434,46944,38855,154,641,2455,98030,28705,15296,8353,8069,35038,1741,41546,87925,52350,17029,11704,11411,471,10854,7096,3721,149533,6192,352845,19239,1994,28952,5489,3726,67311,2805,12951,9056,4085,18412,50740,7518,944,69,32145,18811,1502,12885,776
2020-05-20,13186,401,14906,5003,86818,22797,39017,8194,7551,47471,39801,154,643,2506,100418,29274,15620,8507,8167,35316,1819,42323,88970,53009,17670,11967,11559,478,11122,7388,3868,150976,6317,354370,20262,2095,29436,5532,3801,68126,2866,13356,9175,4177,18412,51985,7710,944,69,32908,18971,1567,13413,787
2020-05-21,13590,401,15348,5458,88926,23191,39208,8386,7788,48675,40663,165,647,2506,102688,29936,16170,8625,8286,36504,1877,43531,90084,53510,18200,12222,11725,479,11427,7400,3935,151802,6472,356458,20512,2229,30167,5680,3817,69252,2913,13571,9381,4177,18961,53279,7874,950,69,34137,19117,1593,13885,801
2020-05-22,13954,403,15624,5612,91210,23487,39640,8529,7893,49451,41482,165,642,2595,105444,30409,16492,8909,8426,36925,1948,44424,90889,53913,19005,12625,11875,479,11662,7525,4014,152818,6625,358154,22110,2317,30794,5849,3864,70211,3030,13736,9638,4356,19394,53817,8057,952,69,34950,19265,1705,14396,803
2020-05-23,14328,407,16053,5775,93379,23964,40022,8529,7966,50127,42242,165,643,2595,107796,30901,16898,8946,8571,36925,2013,45495,91662,54365,19845,13005,11991,479,11963,7526,4089,153383,6625,359926,22864,2365,31408,5960,3888,71009,3100,13952,9895,4464,19785,54932,8260,954,69,35749,19265,1705,14877,813
2020-05-24,14676,407,16377,5922,94769,24174,40468,8809,8110,50867,42902,166,643,2626,110304,31376,17251,9004,8571,37169,2055,46313,92675,54679,20573,13260,12152,479,12134,7881,4149,154402,6943,361515,23365,2418,31911,6037,3927,71563,3189,14065,10096,4563,20111,55961,8392,956,69,36244,19828,1759,15277,838
2020-05-25,15309,408,16575,6029,97082,24269,40873,8965,8225,51746,43400,166,643,2626,112017,31715,17557,9125,8571,37809,2074,47152,93271,54881,21315,13458,12452,479,12362,7956,4197,155343,7026,362764,24057,2457,32477,6090,3949,71925,3260,14065,10178,4586,20535,56434,8521,962,69,37727,20065,1774,15584,843
2020-05-26,15899,410,16864,6180,100207,24565,41303,9066,8334,52255,43983,167,643,2626,113195,32078,17703,9199,8951,38054,2109,47687,93693,55104,21960,13731,12561,479,12619,8057,4231,156030,7130,363836,24455,2422,33006,6138,3967,72778,3324,14210,10416,4653,20895,57468,8620,967,69,39342,20181,1774,15863,850
2020-05-27,16263,411,17318,6277,102014,24767,41288,9096,8406,52634,44638,170,644,2699,114306,32437,18369,9291,9077,38497,2137,48423,94220,55608,22464,14044,12809,481,12984,8150,4286,156909,7252,364965,24916,2439,33439,6229,4038,73557,3397,14353,10623,4710,21285,58838,8706,971,69,40249,20406,1899,16462,860
2020-05-28,16749,424,17877,6538,104893,25121,41559,9171,8492,53285,45266,171,647,2770,115833,33068,18586,9371,9185,38802,2189,49709,94895,56014,22947,14372,12971,485,13249,8248,4389,157485,7364,366733,25800,2481,33915,6273,4086,74220,3486,14494,10788,4793,21679,60625,8921,974,69,41401,20764,1935,16974,876
2020-05-29,17262,429,18472,6777,107707,25612,41762,9236,8538,54497,45881,172,649,2770,117455,33558,18957,9662,9464,38802,2226,50988,95512,56621,23531,14793,13082,493,13648,8376,4492,159152,7493,368284,26885,2520,34566,6338,4131,74984,3647,14635,11131,4866,22063,61254,9264,975,69,42533,21071,1951,17707,891
2020-05-30,17689,433,19258,7013,110937,26098,42022,9422,8717,55424,46331,172,651,2803,118917,34211,19244,9690,9704,39577,2282,52015,96301,56969,24190,15229,13293,505,13905,8517,4492,159922,7624,369660,27794,2554,35033,6418,4185,75697,3718,14819,11394,4960,22566,63045,9533,977,69,43611,21349,1989,18230,898
2020-05-31,18200,459,19936,7253,112919,26378,42201,9498,8801,56163,47063,172,652,2839,120260,34574,19552,9700,9704,39916,2325,52778,96965,57397,24850,15523,13420,515,14101,8628,4651,160760,7689,370770,28785,2577,35513,6418,4243,76129,3776,14928,11861,4993,22566,64744,9797,981,69,44607,21702,2010,18403,903
2020-06-01,18525,466,20129,7443,115688,26577,42740,9605,8857,56830,47902,175,652,2839,121234,34830,19699,9920,10046,40341,2349,53327,100805,57532,25208,15752,13717,519,14345,8702,4685,161246,7800,371711,29592,2625,35984,6573,4302,76646,3873,14991,12148,5034,22566,65732,9999,983,70,45398,22239,2028,18543,910
2020-06-02,18734,486,21264,7818,118292,26788,42979,9685,8886,57447,48207,175,653,2933,122848,35237,20019,9965,10185,40746,2377,54175,101163,57731,25508,16041,14015,523,14616,8858,4749,161904,8024,373040,30023,2646,36350,6692,4335,77225,3935,15112,12415,5067,24342,67569,10202,988,70,46239,22516,2056,18917,912
2020-06-03,18954,504,22356,8067,120557,27060,43091,9712,9016,58764,48894,177,653,2933,123830,35712,20300,10092,10410,41133,2418,54982,101592,58035,25870,16322,14199,525,14885,8951,4795,162445,8140,374085,31276,2679,36792,6805,4399,77780,4023,15219,12415,5162,24833,69122,10497,990,70,46905,22764,2077,19400,915
2020-06-04,19262,512,22886,8425,123490,27360,43239,9746,9120,60183,49859,179,655,2990,124759,36096,20806,10167,10705,41562,2446,55858,102063,58241,26273,16560,14437,539,15139,9129,4876,162923,8353,375133,32075,2706,37282,6907,4474,78335,4508,15325,12415,5247,25190,70802,10813,1026,71,47856,23024,2102,19892,921
2020-06-05,19910,523,24439,8651,126989,27615,43460,9773,9199,61488,50621,179,664,3111,125915,36578,21154,10306,10977,41989,2482,56770,102557,63777,26980,16769,14567,541,15406,9309,4953,163748,8672,376208,33295,2745,37758,7007,4570,78815,4620,15441,13453,5277,25664,72610,11252,1027,71,48532,23483,2119,20249,933
2020-06-06,20355,535,25451,9101,129735,27848,43818,9845,9269,62758,51359,179,673,3139,126890,36997,21478,10361,11287,42486,2524,57482,103132,64229,27501,17039,14942,540,15572,9491,5019,164314,8800,377316,34718,2816,38111,7059,4570,79505,4915,15441,13453,5367,26177,74652,11798,1046,71,49397,23767,2136,20571,939
2020-06-07,20777,543,26989,9426,131769,28001,43968,9942,9332,63938,51898,179,675,3139,127757,37397,21712,10406,11287,42816,2570,57973,103436,64648,27886,17270,15017,545,15664,9669,5043,164593,8940,378097,35625,2861,38476,7150,4662,79908,4985,15441,14286,5438,26493,75697,12066,1063,71,50681,24078,2144,20835,947
2020-06-08,21268,562,27678,9740,135114,28183,44092,9972,9389,64904,52497,179,676,3189,128415,37623,22007,10544,11476,43050,2588,58404,103626,64944,28224,17768,15166,548,15786,9816,5079,164941,9062,378799,36517,2880,38837,7205,4922,80339,5046,15642,14800,5471,27005,76689,12322,1075,71,51251,24378,2161,21038,960
2020-06-09,21834,572,28296,10080,138148,28347,44179,10020,9474,66000,53249,180,682,3221,129212,38033,22237,10609,11707,43612,2606,58904,103889,64998,28523,18123,15317,554,15918,10045,5079,165257,9105,379482,37227,2901,39162,7363,4988,80870,5185,15691,15228,5523,27575,78427,12559,1084,71,51738,24630,2169,21308,970
2020-06-10,22659,592,29852,10368,141313,28499,44347,10056,9537,67371,53980,180,685,3260,129837,38337,22626,10750,11883,44030,2637,59465,104156,65182,28869,18483,15485,561,16058,10218,5178,165823,9250,380156,38473,2941,39575,7483,5060,81316,5329,15756,15759,5604,27930,80986,12864,1095,72,52177,24892,2194,21593,980
2020-06-11,23370,609,31267,10816,145024,28647,44461,10106,9589,69069,54973,183,692,3260,130603,38748,22973,10823,11945,44472,2667,60197,104667,65449,29316,18483,15684,563,16315,10473,5209,166318,9367,380892,39584,2980,40004,7626,5237,81848,5352,15862,16441,5665,28340,82940,13252,1110,72,52647,25176,2217,21926,1009
2020-06-12,24405,624,33039,11547,148434,28822,44689,10173,9654,70971,55783,183,706,3353,131198,39146,23350,10973,12166,44995,2721,60613,105059,65672,29795,19091,15981,573,16522,10704,5251,166685,9526,381714,41417,3016,40424,7849,5377,82481,5536,15947,17170,5742,29118,85051,13577,1119,72,53211,25542,2249,22246,1027
2020-06-13,25364,653,34660,12095,151885,29017,44994,10229,9709,73552,56804,183,723,3353,131871,39543,23717,11020,12445,46283,2757,61305,105395,65836,30172,19348,16208,588,16640,10997,5299,167141,9621,382630,42845,3058,40851,8073,5377,82944,5690,15947,17955,5833,29549,87192,13981,1125,72,53869,25825,2274,22518,1050
2020-06-14,26182,660,35706,12501,154012,29130,45088,10264,9767,75568,57681,183,728,3399,132543,39909,23926,11101,12445,46619,2793,61701,105603,66054,30471,19516,16247,601,16730,11201,5318,167425,9723,383324,44264,3080,41148,8231,5377,83203,5811,15947,18795,5898,30343,88779,14313,1127,72,54506,26158,2290,22758,1060
2020-06-15,26485,663,36844,12917,157620,29299,45235,10340,9799,77326,58414,185,736,3399,133016,40430,24082,11319,12647,47172,2810,62032,105690,66085,30693,19799,16597,609,16851,11315,5345,167669,9845,383944,45114,3101,41576,8417,5820,83589,5890,16093,19378,5928,31004,90488,14608,1128,72,54886,26530,2322,22932,1079
2020-06-16,27034,675,39185,13191,161149,29442,45349,10403,9818,80109,59078,186,736,3462,133639,40786,24179,11411,12647,47706,2819,62409,105885,66269,30882,20152,16862,614,17038,11683,5364,168022,9933,384575,45907,3124,42010,8645,6098,83978,5951,16164,19990,5966,31751,93764,14937,1131,72,55331,26787,2341,23198,1089
2020-06-17,27941,695,40937,13606,165425,29671,45429,10444,9847,82719,60030,188,744,3632,134185,41013,24460,11644,12995,48634,2836,62969,106151,66497,31296,20641,17076,630,17231,11854,5436,168323,10065,385142,46934,3166,42422,8904,6218,84289,6003,16213,20556,6050,32114,98119,15344,1130,73,55775,27193,2376,23456,1114
2020-06-18,28676,707,43445,13928,170296,29901,45440,10499,9903,85926,60912,192,762,3743,134778,41438,24861,11753,13197,48634,2878,63229,106422,66798,31675,20641,17386,655,17414,12169,5450,168748,10153,385760,48167,3193,43122,9355,6366,84683,6111,16269,21533,6109,32770,101566,15839,1135,73,56238,27608,2418,23876,1144
2020-06-19,29225,720,46910,14631,174428,30187,45557,10611,9952,89748,62009,200,789,3871,135470,41746,25274,12021,13454,48515,2913,63548,106650,67097,32031,20641,17689,666,17588,12524,5486,169167,10260,386556,49785,3226,43731,9707,6572,85199,6195,16337,22608,6158,34017,105635,16425,1144,73,56793,28225,2468,24154,1173
2020-06-20,29683,741,50127,15142,178846,30348,45715,10681,9984,93797,63809,222,789,4004,136104,42061,25496,12097,13630,49385,2938,63956,106936,67545,32467,20641,18098,698,17707,12976,5518,169522,10430,387272,51390,3251,44261,10038,6572,85590,6463,16337,23756,6225,34446,110250,17068,1147,73,57443,28676,2500,24539,1179
2020-06-21,30122,752,52591,15561,182026,30539,45755,10775,10020,97291,64701,222,814,4006,136762,42423,25963,12136,13750,49778,2957,64306,107061,67711,32920,20641,18527,717,17812,13240,5544,169843,10565,387936,52801,3288,44808,10516,6572,85935,6525,16337,24661,6297,35102,113112,17462,1159,76,57994,28874,2533,24819,1197
2020-06-22,30771,758,54599,16083,188948,30705,45782,10820,10058,100217,65928,222,816,4256,137224,42633,26146,12428,13839,50239,2971,64603,107210,67957,33227,22329,18716,734,17963,13528,5558,170148,10694,388488,53964,3313,45537,10734,7083,86576,6564,16459,25666,6326,35553,118222,17906,1163,76,58465,29394,2552,25068,1230
2020-06-23,31889,760,58378,16678,196541,30893,45899,10847,10094,103503,67810,225,819,4254,137825,42871,26469,12537,14141,51595,2996,65007,107439,68197,33469,22898,19167,743,18099,13528,5571,170506,10838,389085,54639,3320,46127,11031,7274,87208,6685,16533,26572,6353,36303,123440,18300,1164,76,58994,29874,2593,25331,1254
2020-06-24,32878,789,60190,17375,201764,31155,45913,10889,10128,109014,69381,226,835,4402,138540,43140,26601,12930,14363,52477,3017,65337,107611,68555,33763,23424,19499,766,18221,13528,5598,170683,10990,389666,56527,3362,46759,11510,7444,87685,6820,16606,27897,6419,37235,129210,18784,1184,76,59514,30372,2631,25763,1282
2020-06-25,33880,813,63281,18062,207480,31479,45994,10980,10159,114018,71095,231,851,4865,139434,43655,27373,13107,14617,53415,3070,65777,107837,68989,34123,24516,19985,803,18346,14859,5638,171018,11192,390415,57472,3393,47651,11948,7568,88141,6877,16640,29022,6479,38034,134997,19374,1191,80,59946,30866,2694,26227,1326
2020-06-26,34903,833,66659,18740,213752,31796,46059,11017,10185,122960,72995,247,866,4865,140291,44140,27717,13462,14859,54769,3102,66115,108070,69329,34616,25066,20503,829,18524,15240,5671,171430,11408,391220,59158,3421,48638,12347,7818,88860,6922,16661,30335,6535,39444,140671,20050,1198,81,60570,31422,2730,26747,1368
2020-06-27,35083,851,70124,19310,217612,32022,46206,11091,10216,132545,74985,247,872,5322,141077,44575,28073,13617,15167,54769,3154,66450,108443,69679,35033,25531,20856,852,18775,16339,5717,171741,11619,391923,60812,3458,49455,12646,8094,89446,7066,16661,31939,6626,40172,146254,20628,1200,81,61247,31766,2782,27286,1392
2020-06-28,36503,880,73920,19818,222630,32307,46303,11226,10248,141075,77210,247,899,5322,141723,44930,28520,13847,15232,56236,3191,66777,108667,69946,35549,25892,20949,863,18899,17160,5747,172066,11809,392539,62248,3495,50309,12947,8341,89863,7189,16661,33320,6681,40172,151045,21100,1202,81,61736,32267,2832,27743,1417
2020-06-29,37589,901,74545,20257,231578,32511,46362,11376,10292,146341,79417,253,900,5752,142461,45228,28845,14209,15347,57081,3219,67254,108768,70223,35861,26567,21118,919,19042,17894,5760,172199,11982,393403,63736,3539,51046,13175,8485,90467,7250,16764,34644,6716,42297,157434,21664,1208,81,62189,32831,2870,28058,1450
2020-06-30,38477,937,79228,20777,239538,32715,46514,11474,10327,152434,81291,257,917,6117,143185,45594,29074,14370,15624,58095,3253,67559,108882,70728,36303,27247,21310,967,19177,18456,5782,172633,12147,393454,65327,3576,51789,13757,8656,91139,7465,16813,36399,6764,43509,163737,22217,1208,81,62787,33439,2905,28659,1487
2020-07-01,39647,975,84105,21197,247317,33029,46572,11510,10365,158997,84242,267,926,6370,144013,45952,29514,14830,15842,60178,3294,67918,108882,71089,36716,27900,21404,1016,19310,19101,5802,172934,12276,394079,66751,3615,52865,14119,8931,91775,7537,16853,37919,6826,45315,172859,22716,1210,90,63203,34152,2979,29199,1514
2020-07-02,41340,1014,87445,22075,255494,33352,46646,11731,10390,169106,87709,280,946,6593,144013,46387,30259,15002,16079,61561,3328,68423,109338,71678,37210,28770,23029,1083,19452,19733,5822,173411,12520,394954,68216,3657,52865,14531,9294,92612,7608,16941,39701,6893,46890,180169,23270,1227,92,63735,34909,3053,29738,1550
2020-07-03,42255,1060,91872,22622,259664,33612,46717,11923,10435,178594,90493,280,975,6994,145750,46915,30463,15659,16376,63289,3373,68961,109628,72175,37624,29684,23584,1128,19660,20718,5857,173829,12776,395872,70262,3722,55257,15069,9636,93392,7683,16991,41532,6978,48712,186319,23866,1236,98,64393,35260,3126,30317,1582
2020-07-04,43216,1107,94567,23209,261909,33866,46717,11996,10447,190052,93319,280,999,7370,146612,47432,31061,15911,16376,63289,3397,69341,109838,72581,37624,30674,24037,1167,19827,21575,5872,174132,13063,396598,71670,3779,56183,15648,9930,93922,7787,16991,43386,7028,50140,192796,24542,1238,111,65109,35902,3205,31055,1606
