,school_name,dashboard
143,University of San Francisco,https://myusf.usfca.edu/covid/cases-dashboard
144,University of Scranton,https://www.scranton.edu/royals-safe-together/tracking-and-reporting.shtml
145,University of South Carolina,https://sc.edu/safety/coronavirus/dashboard/index.php
146,University of South Florida,https://www.usf.edu/coronavirus/updates/usf-cases.aspx
147,University of St. Thomas (MN),https://www.stthomas.edu/covid19/dashboard/
148,University of Tennessee,https://www.utk.edu/coronavirus/guides/data-monitoring-and-contingency-options/
149,University of Texas Austin,https://coronavirus.utexas.edu/ut-austin-covid-19-dashboard
150,University of Vermont,https://www.uvm.edu/returntocampus/uvm-weekly-testing-report
151,University of Virginia ,https://returntogrounds.virginia.edu/covid-tracker
152,University of Washington,https://www.washington.edu/coronavirus/testing-results/
153,University of West Virginia ,https://www.wvu.edu/return-to-campus/daily-test-results/morgantown#daily-campus-testing
154,University of Wisconsin Madison,https://smartrestart.wisc.edu/dashboard/
155,University of Southern California,https://coronavirus.usc.edu/latest-covid-19-testing-data/
156,Valparaiso University,https://www.valpo.edu/looking-forward/
157,Vanderbilt University,https://www.vanderbilt.edu/coronavirus/covid19dashboard/
158,Vassar ,https://www.vassar.edu/together/dashboard/
159,Villanova University ,https://www1.villanova.edu/university/return-to-campus/dashboard.html
160,Virginia Commonwealth University,https://together.vcu.edu/dashboard/
161,Virginia Tech,https://ready.vt.edu/dashboard.html
162,Wake Forest,https://ourwayforward.wfu.edu/covid-19-dashboard/
163,Washington University in St. Louis,https://covid19.wustl.edu/danforth-campus-covid-19-dashboard/
164,Wesleyan University,https://www.wesleyan.edu/healthservices/reactivating/health/dashboard.html
165,Western Kentucky,https://www.wku.edu/healthyonthehill/reporting/dashboard/
166,William Paterson University ,https://www.wpunj.edu/covid19/dashboard.html
167,Williams University,https://bit.ly/3h6jpea
168,Wooster,https://confluence.wooster.edu/plugins/servlet/mobile?contentId=72941653#content/view/72941653
169,Worcester Polytechnic Institute,https://www.wpi.edu/we-are-wpi/health-and-safety/dashboard
170,Yale,https://covid19.yale.edu/yale-statistics
