,Texas,Georgia,Virginia,Kentucky,Missouri,Kansas,Illinois,North Carolina,Iowa,Tennessee,Nebraska,Indiana,Ohio,Minnesota,Michigan,Mississippi,Puerto Rico,Oklahoma,Arkansas,Wisconsin,Alabama,Florida,Pennsylvania,South Dakota,Louisiana,Colorado,New York,California,Montana,West Virginia,North Dakota,South Carolina,Idaho,Washington,Oregon,New Mexico,Alaska,Maryland,Wyoming,New Jersey,Maine,Nevada,Arizona,Vermont,Utah,Massachusetts,New Hampshire,Connecticut,Rhode Island,Hawaii,Delaware,District of Columbia
2020-12-17,1553765,568396,296093,234020,393536,197696,879428,457660,262210,493230,153400,447190,596178,389171,487356,187904,64751,248204,194543,482443,310335,1168483,534948,93197,279321,300414,825059,1784859,75483,68485,89063,262774,126878,217205,98936,126045,42883,243984,40593,461744,17901,196379,435036,6149,243918,309247,34888,160102,77290,20231,48768,25830
2020-12-18,1570908,576537,299388,237189,398000,203361,886805,466104,264707,503651,154745,453139,605862,391889,491875,190411,66132,251760,197421,486364,315683,1181483,544116,93772,282434,304107,837711,1833771,75992,69751,89554,267076,128218,220268,100308,127500,43377,246553,41359,466320,18337,199257,442671,6243,246562,314926,35712,162782,77812,20413,49109,26104
2020-12-19,1585167,582300,302972,240563,401345,203425,894367,472268,266959,503651,155415,457871,614429,394635,496056,192111,67211,255868,200114,490679,319904,1193165,552895,94336,282434,306598,847778,1869881,76619,71215,89784,270537,129069,222600,101814,128930,43713,248754,41488,471084,18738,201858,448231,6343,248970,319270,36362,162782,77812,20565,50136,26342
2020-12-20,1594965,587918,306848,242320,404014,203430,900370,479168,267329,519687,156382,464354,622806,397319,496056,194333,68433,260838,201650,492724,322452,1201566,559256,94727,286145,308890,857083,1909406,77170,72342,90035,273406,129960,222600,102930,129993,43896,250808,41662,476776,18946,203945,453597,6443,250964,323531,37096,162782,77812,20817,50616,26601
2020-12-21,1607985,591438,310890,244296,407876,207542,905069,483647,268736,529578,157103,468219,629354,399311,501115,195500,68849,263434,203107,494353,324832,1212581,569099,95074,287261,311036,866888,1954347,77324,73337,90116,275733,130877,226635,103755,130808,44050,253073,42118,480661,19285,205884,461345,6534,252783,327374,37715,167377,80231,20881,51056,26740
2020-12-22,1629816,600517,314481,247343,410960,207819,911308,488902,270294,534019,158324,471876,637032,401011,504629,197691,69912,265620,205048,497380,329811,1223015,576787,95509,290960,313552,876281,1990644,77947,74737,90452,278055,132594,227887,105073,132075,44485,255397,42379,485914,19743,206974,467215,6608,255085,331174,38284,168960,81187,20879,51623,26900
2020-12-23,1652488,608290,319133,250279,414769,212612,918070,494511,272112,541240,159662,476538,644822,402519,508449,200325,70488,269276,207941,500443,334569,1234399,586474,96040,293934,316500,886813,2035301,78522,75936,90722,282230,133985,230202,105970,133242,44852,257862,42664,491341,20491,209962,473273,6680,257697,335988,38872,170705,82066,21015,52235,27226
2020-12-24,1661626,618576,323915,250279,418383,212749,925107,494511,273661,546497,160357,482734,653650,404403,508449,202651,70808,272553,211145,503706,338801,1247546,595808,96546,296499,319530,899837,2068468,78929,77239,90947,285028,135233,233093,106821,135166,45122,260728,42664,496638,21226,212211,480319,6781,260589,341925,40015,172743,82066,21173,53015,27436
2020-12-25,1664941,624630,327993,250279,420263,212749,930849,494511,274266,546497,161162,488180,653650,404403,508449,204178,71424,272553,213267,505345,342426,1247546,601940,96546,296499,322189,912885,2085231,78929,78836,91221,285028,135233,233093,106821,136622,45122,263160,42664,502069,21547,214064,486935,6781,260589,341925,40784,172743,82066,21358,53653,27436
2020-12-26,1670355,628788,329577,255562,422423,212749,934142,513930,274793,560892,161337,492021,664668,406545,516326,205023,72443,276508,213969,506022,343458,1264588,608767,96963,296499,323619,924014,2144654,79433,80177,91354,288892,135787,236719,108326,137226,45497,265440,43146,506724,21547,215653,493041,6966,264078,349602,41131,172743,82066,21432,54473,27710
2020-12-27,1699194,632299,333576,257062,424218,212749,937909,516828,275299,564080,161974,493841,670525,409061,516326,206388,73227,279139,214877,508580,345628,1271979,613272,97390,299722,325018,932022,2178934,79780,80710,91464,296179,136215,236719,109725,137968,45800,267198,43200,509765,21880,217509,494337,7029,264874,352736,41636,172743,82066,21512,55057,28202
2020-12-28,1707818,636240,336175,258516,426639,218795,942362,520716,276649,567792,162849,496306,675044,410138,519876,208089,73658,282587,216528,510137,347897,1280177,618902,97657,300539,326668,940290,2222669,79999,81436,91557,298050,137010,238672,110545,138659,45930,269183,43704,513429,22319,218377,504423,7120,266590,356934,42220,181200,85602,21508,55488,28342
2020-12-29,1732971,645690,340297,261491,431137,219169,948006,524279,278310,572589,163781,500282,682570,411110,523839,210032,75790,283781,219246,513056,351804,1292252,627526,98158,304485,328408,950473,2258759,80426,82773,91828,300602,138524,240846,111227,139875,46123,271061,43923,517845,22909,220124,507222,7202,269326,361079,42934,181967,86789,21609,56189,28535
2020-12-30,1754975,654743,344345,265261,435420,225206,955380,532830,280064,580809,165297,505017,690748,413107,528621,213055,75888,287030,222430,516226,356820,1306123,636061,98720,311229,330859,963390,2291414,81300,84225,92203,303475,139864,242330,112260,141186,46504,273689,44133,523295,23499,222595,512489,7276,271940,367918,43879,183663,87949,21748,56596,28758
2020-12-31,1772784,666452,349584,265261,440756,225212,963389,539545,281712,586802,166798,511485,700380,415302,528621,215811,76291,290936,225138,520438,361226,1323315,645390,99164,315275,334097,978783,2325599,81555,85334,92495,307507,141077,246752,113909,142864,47014,276662,44409,529027,24201,224731,520207,7412,276612,375178,44882,185708,87949,22007,57456,28983
2021-01-01,1782956,677589,354766,265261,445019,230108,963389,539545,282980,586802,167716,517773,700380,415302,528621,218386,77054,290936,229442,522523,365747,1323315,652091,99164,315275,337161,995816,2365024,81555,87820,92770,307507,141077,246752,113909,144142,47019,280219,44409,535043,24902,227046,530267,7412,276612,375178,45932,185708,87949,22397,58064,29252
2021-01-02,1801181,685122,358755,273970,448387,230119,975352,558437,283895,604132,168262,523090,714673,417832,538121,220277,77932,296055,231442,523652,369458,1354833,660580,99829,315275,339172,1011665,2415246,81944,89327,92891,312718,142199,246752,116348,145379,47821,283171,44573,541202,25245,228871,539150,7689,281654,384181,46614,190120,87949,22448,58873,29509
2021-01-03,1816886,690900,363765,276825,451605,230119,979821,564924,284715,608297,169000,526071,721481,420544,538121,222061,78169,304072,233475,526245,371934,1365436,664913,100532,321058,341250,1023897,2452262,82381,91058,93041,321669,142507,255396,117745,146394,48118,285319,44875,545450,25592,231614,556384,7793,283473,387662,47376,190120,87949,22560,59484,29764
2021-01-04,1831146,696063,367536,279142,454015,234069,984880,570111,286356,612250,169585,529688,727423,423688,543611,223677,78805,306771,234781,527871,374095,1376692,670039,100643,322181,343435,1035139,2490518,82664,91886,93240,325472,143305,256435,118453,147315,48382,287802,45257,547247,25967,233032,561542,7873,285633,392568,47870,194636,92708,22602,60333,29904
2021-01-05,1864173,706154,371913,280835,458230,233901,991719,575396,288298,617649,171033,533083,735003,425261,546642,225444,79319,308268,238888,531890,379593,1392123,678998,101076,326648,346893,1048281,2529480,83378,93162,93494,328073,144843,258767,119488,148499,48582,289758,45569,554400,26565,235455,567474,8038,288951,397202,48662,196968,93852,22757,61100,30166
2021-01-06,1884799,713840,377300,286540,462063,239197,999288,582348,290776,625380,172469,539229,742817,427587,551498,228235,79612,311573,242593,535999,384184,1409906,688398,101684,333524,349450,1064297,2567843,84060,94678,93832,333235,146106,260752,120223,149984,48922,292904,45890,560057,27090,237393,574680,8158,292720,404053,49584,199454,95463,22917,61729,30482
2021-01-07,1910091,723630,382679,291429,467936,239311,1008045,592746,293189,634237,173591,546499,753068,429570,555747,228235,79898,315354,245916,540508,389230,1429722,698005,102132,338054,352923,1081885,2609088,84750,96002,94156,338112,147173,264012,121085,151819,49255,295874,46168,566761,27625,240796,584593,8403,297317,411601,50337,202758,96591,23400,62949,30750
2021-01-08,1932554,736926,387917,296166,473282,244583,1017322,602774,294762,640606,174614,552594,762603,431944,559655,233665,82067,320586,248860,544618,394287,1449252,708221,102580,341431,356110,1101445,2651984,85568,97898,94438,344176,148258,268607,122847,153456,49660,299606,46647,572692,28407,243661,596251,8619,301110,419721,51289,205994,97614,23704,63503,31107
2021-01-09,1951915,748852,393715,300397,477617,244583,1024039,614355,296171,646450,175620,558560,770977,434413,562553,236868,82630,324875,251746,548134,399150,1464697,717277,102901,341431,358947,1119284,2704483,86102,99778,94558,350084,149235,271595,124476,154954,49979,303364,46719,579250,29019,246309,607345,8790,303723,427135,52371,205994,97614,23897,64475,31457
2021-01-10,1968189,757045,398856,303624,480558,244583,1028750,623188,296682,653869,176026,563653,777065,436572,562553,239082,83119,331362,255076,550260,401900,1477010,723865,103318,346829,361148,1135592,2744008,86324,101212,94716,354525,149667,271595,125683,156157,50238,306674,46832,584828,29298,248569,618546,8967,305999,432791,52980,205994,97614,24045,65273,31791
2021-01-11,1990204,764499,403386,305706,483211,249712,1033526,629124,297774,657396,176670,567338,784957,437552,567682,240309,83468,335247,256344,551942,404000,1488586,730773,103499,348234,362825,1149771,2784716,86653,102282,94830,357654,150239,276686,126607,157087,50413,309686,47395,590162,29611,250249,627541,9078,307483,437042,53913,213358,100607,24201,65827,31993
2021-01-12,2014645,773692,407947,308728,486456,249803,1040168,635975,299255,660874,177670,570477,792938,438867,570150,241957,84427,337457,259553,555249,407848,1503482,737994,103743,352939,364336,1164562,2832085,87077,103203,94968,359357,151273,278544,127780,157974,50544,312351,48072,594749,30326,252842,636100,9247,309629,442529,54516,217047,101393,24261,66446,32423
2021-01-13,2040751,782288,412545,313281,489319,254104,1046030,641073,301161,665499,179199,574119,799639,440354,573278,243899,84639,341364,262020,558020,410995,1517472,746002,104195,355835,366774,1179266,2870104,87653,104392,95135,365378,152364,281202,129109,159119,50840,314867,48289,602629,31150,253985,641729,9368,314817,448447,55378,220576,102485,24352,67173,32600
2021-01-14,2068637,791324,417839,317344,492899,254410,1052682,650926,302560,670482,180131,578494,807293,441935,576573,245847,84816,344506,264511,561160,414583,1531192,753164,104512,361148,369177,1193453,2910044,88110,105219,95378,371180,153358,283777,130246,160543,51185,317815,48701,609721,31958,256172,649040,9573,317559,454402,55957,221544,103386,24598,68065,32820
2021-01-15,2094921,801130,422634,321269,497037,258354,1059324,659840,303926,676039,180910,583160,814442,443562,579574,248189,85954,348044,267635,563866,417528,1548067,759243,104937,364853,371458,1212922,2948054,88635,106649,95599,375967,154470,285970,131258,161805,51485,320739,48909,616032,32781,258050,658186,9734,320102,459927,56966,223422,104443,24789,68727,33140
2021-01-16,2112662,809663,429391,324324,499866,258354,1064667,667826,304748,680847,180910,587049,821507,445047,581785,250869,86523,351665,270178,566275,420681,1560186,765489,105278,364853,373483,1228867,2983149,89056,108124,95714,382422,155276,285970,132412,162893,51678,324031,49068,622089,33219,260090,666901,9915,322252,465726,57605,223422,104443,24969,69372,33537
2021-01-17,2127111,815995,439305,326674,502063,258354,1068829,674637,305151,685321,181978,590211,826754,446380,581785,252475,87381,354979,271154,568166,422598,1571279,770985,105544,368980,374981,1242561,3014428,89393,108821,95864,388184,155554,289939,133205,163637,51959,326445,49363,627221,33559,261573,673882,10057,323837,470140,58229,223422,104443,25064,70294,33851
2021-01-18,2138190,820952,446550,328667,503740,261825,1072214,674637,306083,687751,182176,592709,831066,447349,585128,253932,87939,356816,272263,569335,424028,1579281,774566,105659,369951,376171,1255971,3043005,89576,109809,95934,391464,155554,289939,133851,164263,52113,328214,49708,631074,33876,262794,679282,10220,324919,473441,58709,230125,104443,25187,70910,34033
2021-01-19,2157459,828581,451076,330906,506104,262003,1076532,684497,307302,690065,182176,595436,836049,448268,586673,255125,88373,358374,273594,571268,426543,1589097,781947,105786,372089,377856,1268692,3078551,89864,110820,96071,394318,156778,291989,134468,164954,52243,330186,49922,635702,34262,263972,685699,10321,326221,476526,59228,232219,107066,25195,71311,34259
2021-01-20,2185554,836649,455591,334320,508632,265522,1081354,690912,308787,694291,184482,598313,842433,449492,589869,256827,88513,360360,276114,573119,429655,1601011,787584,106063,374582,379227,1279811,3097632,90255,111677,96222,399843,157588,294017,135142,165835,52413,332353,50124,641140,34963,265143,690544,10471,328380,481040,59891,234134,107876,25278,71775,34403
2021-01-21,2208871,844799,459604,338033,511631,265709,1086333,698099,310440,697783,185346,601937,849704,450762,592382,259117,88728,363046,279220,575688,432536,1613884,793138,106400,378318,381210,1293719,3122705,90649,112617,96369,404492,158200,296087,135973,166823,52627,334519,50424,646189,35638,266343,699942,10580,330469,486180,60588,235796,108786,25441,72523,34612
2021-01-22,2227789,853173,463751,340778,514216,268908,1093375,705535,311695,701847,186255,605426,853982,452268,594920,261167,89282,365992,281382,577991,436087,1627603,798438,106716,380255,383008,1309403,3147207,91049,113615,96565,409188,158798,298249,136839,167731,52926,336915,50583,650389,36274,268212,708041,10759,333118,491452,61206,237815,109735,25658,73233,34905
2021-01-23,2242473,862158,468655,344567,516474,268908,1098527,712716,312622,705876,186854,608519,859841,453808,596746,263023,90073,370149,282995,580003,439442,1639914,803585,106963,380255,384966,1323312,3168028,91410,114752,96720,413789,159325,300198,137600,168579,53175,339307,50583,657536,36598,269713,715357,10908,334889,496093,61995,237815,109735,25758,73915,35077
2021-01-24,2250421,866911,472447,346138,518742,268908,1101819,718812,313137,708717,187147,611039,864322,454989,596746,264219,91028,373090,284066,581377,441170,1649449,807102,107148,383862,386285,1335695,3187475,91652,115307,96817,418325,159506,300198,138168,169205,53336,341452,50898,662808,36598,270907,722574,11033,336405,500037,62492,237815,109735,25925,74575,35301
2021-01-25,2269424,870828,478619,347827,520479,271503,1104763,723445,313909,710427,187793,613228,868656,455783,600093,265146,91596,374853,284702,582477,443009,1658169,812098,107180,385942,387500,1347667,3213222,91816,115839,96874,421417,160033,302141,138587,169696,53421,343138,51062,666951,37046,271897,727895,11165,337264,503688,62890,243632,111754,26019,75191,35505
2021-01-26,2290621,879221,483326,350519,522677,271578,1108430,727423,315002,712406,188122,614946,872918,456490,602168,266598,92069,376424,287187,584041,445909,1667763,816761,107380,388562,388620,1358707,3235045,92160,116978,97006,423667,160592,303482,139355,170296,53510,344620,51152,671781,37710,272853,732643,11285,338675,506183,63367,244899,112396,26030,75490,35700
2021-01-27,2309220,885605,488553,352934,524857,274746,1112181,733010,316114,715806,188784,617176,878284,457317,604233,268672,92244,379110,288964,585600,449086,1676171,822582,107608,392416,390296,1369072,3250649,92531,117775,97160,427231,161212,305289,140063,171047,53692,346559,51368,676537,38170,273873,738561,11379,340684,509503,63886,247339,113009,26164,75832,35865
2021-01-28,2330272,892957,493674,355868,527523,274823,1116372,739500,317124,717583,189597,619995,883716,458633,606488,270476,92541,381430,290856,587580,452734,1687594,828632,107795,394909,391737,1382855,3273905,92934,118562,97304,431169,161720,307809,140783,171719,53876,348749,51430,681283,38454,274951,743232,11523,342445,514134,64591,248765,113754,26263,76495,36132
2021-01-29,2348188,899515,497912,358469,530002,276956,1120528,746459,318319,722491,189597,622625,888590,459747,608627,272662,92968,384217,292563,589384,455582,1698570,838016,107955,397276,393459,1395806,3293531,93246,119467,97457,435633,162355,309801,141729,172798,54063,350629,51690,687269,38813,276279,748260,11658,343962,517252,65134,250023,114438,26460,76935,36414
2021-01-30,2363266,905858,502221,361115,531550,276956,1123873,752627,319110,724742,190570,624959,892781,460819,610138,274190,93406,386590,294387,590997,455582,1713589,842475,108070,397276,395019,1408698,3310949,93762,120340,97561,439785,162683,311597,142416,173539,54218,352726,51704,692543,39168,277349,753379,11831,345430,521360,65655,250023,114438,26545,77551,36662
2021-01-31,2376344,909445,504779,362881,532747,276956,1126301,757526,319408,727861,190713,626682,895792,461807,610138,275001,93624,389472,295268,592140,459639,1721377,846046,108250,400626,396185,1419907,3324264,93949,121001,97629,443386,162683,311597,142416,174064,54350,354473,51912,696829,39324,278308,758404,11965,346624,524025,65949,250023,114438,26596,78071,36872
2021-02-01,2412627,912479,507640,364498,534394,279008,1128613,761302,320187,729187,190950,628391,899079,462528,612710,275706,94238,390868,296494,592921,460860,1727107,849966,108315,401591,397101,1428839,3342647,94070,121425,97680,445916,163165,313335,143373,174550,54457,355636,52057,700346,39543,279146,762145,12083,347208,526423,66289,253954,115956,26692,78495,37008
2021-02-02,2431687,917440,510380,366929,536176,279155,1130917,764228,321274,731360,191437,629903,902736,463132,614143,276531,94526,392164,298004,594217,462938,1737640,854197,108431,404194,398037,1436788,3355781,94384,121935,97797,447904,163656,314692,143978,174982,54596,356541,52128,703496,39960,279957,765083,12196,348409,528662,66656,256522,116191,26734,78696,37008
2021-02-03,2449535,922364,513339,369510,537804,281322,1134231,776307,322308,733216,192042,631331,906727,463766,615860,277322,94662,394283,300430,595756,465056,1744619,857332,108639,406235,399267,1443942,3368281,94810,122470,97936,450794,164163,316294,144605,175652,54820,357483,52288,705807,40233,280707,767379,12329,350000,531117,67041,257004,116704,26814,78982,37199
2021-02-04,2463424,928070,516398,372003,540007,281363,1137559,781802,323216,736370,192549,633667,910847,465176,617745,278532,94984,397065,302899,597475,467823,1752330,860721,108813,408995,400851,1450912,3382932,95111,123044,98034,453878,164565,317878,145320,176211,55004,359037,52468,709096,40534,281596,771796,12503,351273,533921,67492,257941,117291,26953,79225,37365
2021-02-05,2478003,932912,521467,374259,542198,283926,1141219,787349,323797,739031,193069,635171,914530,466224,619499,279742,95064,399727,304723,598902,469319,1763873,865448,108944,409861,402754,1458809,3399745,95458,123641,98095,459974,164969,319371,146137,176793,55258,360584,52576,713324,40799,282493,775622,12612,352489,537208,67919,259372,117891,27101,79546,37634
2021-02-06,2486505,937402,526176,376253,543392,283926,1144281,791521,324306,742213,193421,637987,918079,467217,620685,280778,95355,401780,306064,600016,471311,1771359,869222,109132,409861,404256,1470301,3408241,95717,124190,98106,462981,165209,320146,146741,177214,55261,362084,52618,717835,41065,283391,779093,12766,353700,540827,68260,259372,117891,27192,79832,37877
2021-02-07,2494861,940991,529125,377790,544197,283926,1146346,796195,324590,744600,193722,639711,920217,468118,620685,281678,95839,403954,306736,600782,472423,1777983,873146,109229,411812,405330,1480224,3417982,95790,124708,98155,466373,165209,320146,147122,177556,55261,363650,52627,722167,41219,284042,780637,12900,354608,543934,68597,259372,117891,27236,80594,38035
2021-02-08,2504578,943695,530825,378793,545150,285338,1148088,799279,325219,745826,193826,640744,922143,468682,622813,282313,96161,404994,307373,601391,473348,1783720,876165,109283,412989,406276,1489196,3432088,95914,125106,98184,468403,165658,323214,147419,177867,55766,364553,52784,724728,41419,284590,782887,13046,355122,545303,68897,263739,119104,27225,80931,38136
2021-02-09,2518333,947416,534116,381121,546253,285341,1150170,802065,326150,747462,194170,641874,925350,469254,623731,282969,96402,406064,308848,602256,474666,1790743,880838,109405,414354,407210,1497475,3442672,96288,125522,98175,470311,166095,324025,147932,178280,55891,365529,52830,728304,41636,285136,787268,13105,356040,546896,69126,264608,119434,27254,81210,38281
2021-02-10,2531060,950906,537319,383032,547692,287213,1152995,805898,327061,750409,194632,643305,928631,469905,624970,283753,96494,407724,309940,603255,476067,1798280,883928,109580,414687,407961,1504059,3451176,96595,125951,98214,473140,166553,324706,148475,178790,56096,366666,52874,732674,41889,285795,789245,13122,357339,548946,69519,265496,119893,27330,81461,38348
2021-02-11,2543236,955085,541018,384903,549076,287276,1155833,810466,327432,752033,195006,645006,931437,470803,626477,284664,96636,409401,311043,604683,477570,1806805,887863,109859,417415,409683,1514070,3461753,96842,126420,98353,476287,166876,326159,149082,179323,56254,367865,52979,736330,42064,286387,791106,13249,358581,551396,69929,266499,120381,27454,81875,38533
2021-02-12,2554842,958985,544209,386326,550158,288475,1158431,814594,328565,754279,195485,646425,934742,471851,628012,285648,96924,410818,311608,605785,478667,1814422,891135,110068,418585,411774,1522785,3471311,97063,126887,98466,480157,167225,327167,149576,179724,56409,368977,53086,740062,42265,287023,793532,13415,359641,553812,70322,267337,120821,27541,82263,38670
2021-02-13,2564055,962808,547424,387090,550972,288475,1160523,818724,329039,756071,197027,647657,937541,472791,628956,286343,97313,412276,312562,606651,479856,1821937,894660,110205,418585,412983,1531540,3480228,97297,127282,98551,483140,167483,328047,150034,180289,56410,370136,53086,743819,42425,287836,795323,13561,360584,555895,70756,267337,120821,27584,82672,38796
2021-02-14,2568930,964737,549999,388798,551526,288475,1162154,821894,329258,757418,197236,648875,939350,473567,628956,287436,97609,413542,313028,607213,480931,1827373,896996,110315,419891,413836,1539870,3485841,97401,127588,98597,487293,167483,328047,150281,180571,56411,370983,53136,745987,42529,288348,797270,13677,361294,557777,71044,267337,120821,27616,83003,38918
2021-02-15,2571723,966807,551538,389521,552180,289828,1163574,824352,329726,758561,197328,649652,941265,474169,630408,287980,97837,414272,313348,607639,481605,1830988,898654,110376,420394,414369,1546408,3491392,97539,127889,98643,489018,167483,328047,150464,180761,56411,371705,53136,747432,42677,288739,798608,13862,361756,559350,71302,270242,121787,27637,83239,39001
2021-02-16,2574648,969702,553308,390762,552960,289843,1164922,826340,330318,759523,197447,650530,943291,474621,631532,288714,98317,414780,313525,608418,482488,1837285,901876,110593,420394,415037,1553117,3499871,97666,128117,98781,490453,167945,329746,150875,181060,56912,372221,53351,751065,42773,289029,799740,13917,362347,560576,71561,270822,122072,27639,83369,39131
2021-02-17,2579802,973247,555592,391772,553915,291093,1166717,829507,330906,760303,197746,651453,945107,475379,632772,289398,98428,415858,314192,609189,483167,1844627,905370,110685,421018,416174,1559042,3506402,97900,128405,98901,492369,168353,330807,151257,181332,56975,372980,53450,755174,42877,289392,801055,13996,363248,561936,71938,271356,122440,27679,83581,39180
2021-02-18,2582111,976732,557896,392729,554986,291124,1168684,833423,331505,761360,198042,652210,947389,476292,633973,289532,98506,416476,314445,610055,484365,1849744,908637,110871,421846,417415,1568624,3512088,98100,128760,99034,495044,168639,332007,151713,181739,57192,373966,53531,758451,43095,289880,802198,14149,364399,563976,72399,271903,122859,27777,83852,39301
2021-02-19,2587712,980411,559930,394687,555909,293215,1170902,836650,331747,762673,198442,653245,949695,477287,635446,289892,98624,417345,314713,610974,485212,1856427,911421,111018,422287,418695,1577197,3521225,98377,129055,99153,497937,168953,332904,152190,182050,57404,374974,53683,761498,43229,290300,804116,14251,365256,565794,72767,273101,123145,27834,84181,39461
2021-02-20,2593816,983747,561812,396018,556700,293215,1172736,840096,332182,764008,198751,654660,952306,478157,636269,290242,98835,418318,315230,611789,485986,1863707,913912,111165,422287,419812,1585435,3527338,98641,129364,99228,501277,169150,333794,152711,182475,57406,375737,53683,764375,43367,290671,806163,14359,366034,567764,73161,273101,123145,27886,84531,39553
2021-02-21,2600660,985505,564115,396997,557278,293215,1174330,842637,332760,765137,198949,655541,953767,479036,636269,290632,99084,419354,315514,612240,486843,1868772,915639,111304,424176,420614,1591672,3531846,98779,129616,99277,504149,169150,333794,152818,182789,57406,376355,53795,766405,43497,290972,807967,14493,366735,569284,73413,273101,123145,27968,84732,39648
2021-02-22,2606513,987041,565270,397526,558218,294080,1175568,844770,333080,766089,199045,656358,955378,479591,637928,290874,99257,419853,315759,612712,487520,1872923,917565,111334,424644,421294,1597969,3536946,98810,129854,99312,505589,169584,334962,153135,183023,57751,376966,53900,769109,43594,291145,809474,14608,367073,570546,73665,275334,123980,28002,85090,39755
2021-02-23,2617096,990821,567039,399013,559438,294091,1177241,846284,333964,767315,199402,657037,958153,480091,639712,291222,99476,420212,316593,613419,488973,1878533,920385,111546,426048,422390,1604892,3543340,99040,130139,99416,506912,169866,335693,153645,183335,57808,377628,53944,772267,43736,291543,810658,14691,367789,571783,73923,276691,124262,28044,85228,39844
2021-02-24,2624852,994061,568946,400307,560327,295189,1179250,849630,334665,768946,199782,658043,959995,480845,641270,291891,99519,421012,317396,614260,490220,1885661,923174,111808,426925,423558,1611031,3549090,99242,130382,99531,509044,170289,336565,154062,183781,57996,378490,53988,775386,43900,292059,811968,14768,368601,573885,74258,278184,124718,28093,85506,39943
2021-02-25,2632666,997388,570982,401750,561281,295215,1181144,852981,335244,770940,200163,659127,962404,481831,642868,292811,99619,422156,318122,615225,491110,1892301,925563,111964,427689,424677,1619924,3554629,99445,130813,99621,511546,170595,337653,154554,184080,58179,379466,54202,778963,44118,292630,812907,14840,369433,575993,74568,279159,125185,28124,85801,40122
2021-02-26,2643463,1000822,572639,402926,561987,295997,1183569,855905,335855,772513,200447,660071,964380,482978,644125,293542,99860,423023,318638,616018,491849,1898223,928633,112107,428592,426198,1627998,3559311,99613,131234,99711,513295,170907,338822,154878,184736,58291,380436,54350,782833,44296,293029,814528,14963,370084,577980,74893,279946,125622,28239,86098,40284
2021-02-27,2649363,1004187,574314,403947,562624,295997,1185367,858548,336282,773887,200720,660942,966154,483790,645550,294091,100044,423802,319195,616886,492683,1903682,931531,112293,428592,427462,1636040,3563578,99837,131580,99780,515072,171140,339773,155315,184888,58295,381272,54350,786967,44493,293488,815707,15098,370770,579680,75166,279946,125622,28369,86517,40478
2021-02-28,2653013,1006521,576050,404622,562920,295997,1186613,858548,336465,775004,200882,661673,967422,484594,645550,294795,100297,424508,322415,617367,493252,1909221,933261,112427,430100,428303,1643867,3566914,99954,131855,99809,516823,171140,339773,155597,185132,58296,382099,54394,789356,44635,293754,816782,15198,371235,581148,75424,279946,125622,28380,86799,40598
2021-03-01,2660791,1008660,577174,405126,563489,296644,1187757,862170,336890,775693,200946,662213,968874,485230,647415,294994,100584,424888,322509,617700,493769,1910921,935822,112470,430504,429839,1650303,3573549,100003,132048,99852,517976,171462,340708,155787,185297,58681,382702,54471,792496,44763,293980,817821,15284,371492,582543,75588,282626,126588,28381,87080,40684
2021-03-02,2668091,1011807,578559,406201,564139,296654,1189326,863409,337520,776337,201346,662750,970583,485655,649057,295295,100735,424999,322949,618307,494421,1918100,938296,112652,431271,430615,1656684,3577966,100158,132184,99957,518823,171836,341441,156037,185542,58838,383170,54527,795785,44944,294289,818670,15372,371979,582844,75803,283128,126849,28423,87193,40767
2021-03-03,2675712,1014542,580108,407373,564834,297444,1191440,865554,338041,777935,201608,663511,972605,486434,650762,295675,100765,425746,323353,619087,497154,1924114,940923,112833,431771,431670,1663248,3582320,100351,132416,100067,519996,172288,342236,156287,185898,59035,383956,54616,799476,45091,294684,819954,15487,372708,584743,75990,283622,127285,28424,87425,40818
2021-03-04,2683386,1017428,581408,408440,565588,297474,1193177,868056,338613,779449,201973,664446,974480,487374,652589,296154,100867,426641,323756,619942,498076,1930232,943933,113065,432527,433021,1670716,3587567,100531,132677,100184,521563,172587,343090,156673,186156,59185,384765,54685,802669,45231,295069,821108,15686,373319,586310,76178,284500,127727,28521,87643,41014
2021-03-05,2688975,1019509,583060,409345,566213,297989,1194629,870149,339148,780894,202310,665285,976230,488170,654380,296745,101066,427558,324326,620663,498887,1936207,946734,113229,433045,434654,1678867,3592560,100656,132964,100278,523258,172827,343868,156884,186460,59334,385678,54764,806370,45456,295460,823384,15819,373868,588209,76422,285330,128121,28650,87874,41122
2021-03-06,2692691,1021778,584537,410184,566841,298188,1197187,872176,339529,782206,202653,666516,977736,489116,656072,297321,101327,428536,324653,621275,499411,1940897,949127,113378,433045,435762,1686993,3596760,100656,133290,100357,524457,172931,344532,157079,186742,59334,386610,54764,810090,45639,295960,825119,15964,374438,589931,76695,285330,128121,28727,88139,41273
2021-03-07,2695558,1023487,585700,410709,567217,298188,1198257,872176,339672,783484,203026,667262,978471,490011,656072,297581,101327,428997,324818,621654,499819,1944995,950773,113589,433785,436612,1694651,3599250,100914,133445,100391,525865,172931,344532,157285,186922,59335,387319,54764,812609,45794,296190,826454,16083,374850,591356,76861,285330,128121,28746,88354,41419
