,School,Cases,City,State,Date
83,Holy Names University,1,Oakland,California,10-16-2020
84,Humboldt State University,11,Arcata,California,10-16-2020
85,Los Angeles Community College District,178,Los Angeles,California,10-16-2020
86,Loyola Marymount University,1,Los Angeles,California,10-16-2020
87,Menlo College,3,Atherton,California,10-16-2020
88,Mills College,3,Oakland,California,10-16-2020
89,MiraCosta College,8,Oceanside,California,10-16-2020
90,Occidental College,5,Los Angeles,California,10-16-2020
91,Pepperdine University,21,Malibu,California,10-16-2020
92,Pitzer College,1,Claremont,California,10-16-2020
93,Point Loma Nazarene University,8,San Diego,California,10-16-2020
94,Pomona College,1,Claremont,California,10-16-2020
95,Rio Hondo College*,15,Whittier,California,10-16-2020
96,Saint Mary's College of California,9,Moraga,California,10-16-2020
97,San Diego Mesa College,21,San Diego,California,10-16-2020
98,San Diego Miramar College,4,San Diego,California,10-16-2020
99,San Diego State University System,"1,148",San Diego,California,10-16-2020
100,San Francisco State University,6,San Francisco,California,10-16-2020
101,San Jose State University,50,San Jose,California,10-16-2020
102,Santa Clara University,22,Santa Clara,California,10-16-2020
103,Scripps College,4,Claremont,California,10-16-2020
104,Shasta College,3,Redding,California,10-16-2020
105,Sonoma State University,2,Ronhert Park,California,10-16-2020
106,Southwestern College,8,Chula Vista,California,10-16-2020
107,Stanford University*,137,Stanford,California,10-16-2020
108,"University of California, Berkeley",220,Berkeley,California,10-16-2020
109,"University of California, Davis",84,Davis,California,10-16-2020
110,"University of California, Hastings College of Law",5,San Francisco,California,10-16-2020
111,"University of California, Irvine",120,Irvine,California,10-16-2020
112,"University of California, Los Angeles",199,Los Angeles,California,10-16-2020
113,"University of California, Merced",4,Merced,California,10-16-2020
114,"University of California, Riverside",68,Riverside,California,10-16-2020
115,"University of California, San Diego*",332,San Diego,California,10-16-2020
116,"University of California, Santa Barbara",10,Santa Barbara,California,10-16-2020
117,"University of California, Santa Cruz",19,Santa Cruz,California,10-16-2020
118,University of Redlands,6,Redlands,California,10-16-2020
119,University of San Diego,89,San Diego,California,10-16-2020
120,University of San Francisco,9,San Francisco,California,10-16-2020
121,University of Southern California,459,Los Angeles,California,10-16-2020
122,University of the Pacific,10,Stockton,California,10-16-2020
123,Westmont College,7,Santa Barbara,California,10-16-2020
124,Whittier College,4,Whittier,California,10-16-2020
125,Adams State University,5,Alamosa,Colorado,10-16-2020
126,Arapahoe Community College,5,Littleton,Colorado,10-16-2020
127,Colorado Christian University,1,Lakewood,Colorado,10-16-2020
128,Colorado College,14,Colorado Springs,Colorado,10-16-2020
129,Colorado Mesa University,68,Grand Junction,Colorado,10-16-2020
130,Colorado Mountain College Glenwood Springs,3,Glenwood Springs,Colorado,10-16-2020
131,Colorado School of Mines,41,Golden,Colorado,10-16-2020
132,Colorado State University,468,Fort Collins,Colorado,10-16-2020
133,Colorado State University-Pueblo,14,Pueblo,Colorado,10-16-2020
134,Community College of Denver,42,Denver,Colorado,10-16-2020
135,Fort Lewis College,20,Durango,Colorado,10-16-2020
136,Front Range Community College,10,Westminster,Colorado,10-16-2020
137,Johnson & Wales University-Denver,1,Denver,Colorado,10-16-2020
138,Metropolitan State University of Denver,27,Denver,Colorado,10-16-2020
139,Morgan Community College,2,Fort Morgan,Colorado,10-16-2020
140,Pikes Peak Community College,11,Colorado Springs,Colorado,10-16-2020
141,Pueblo Community College,3,Pueblo,Colorado,10-16-2020
142,Regis University,66,Denver,Colorado,10-16-2020
143,Trinidad State Junior College,1,Trinidad,Colorado,10-16-2020
144,United States Air Force Academy,2,Air Force Academy,Colorado,10-16-2020
145,University of Colorado Boulder,"1,799",Boulder,Colorado,10-16-2020
146,University of Colorado Colorado Springs,27,Colorado Springs,Colorado,10-16-2020
147,University of Colorado Denver and Anschutz Medical Campus*,43,Aurora,Colorado,10-16-2020
148,University of Denver,151,Denver,Colorado,10-16-2020
149,University of Northern Colorado,48,Greeley,Colorado,10-16-2020
150,Western Colorado University,12,Gunnison,Colorado,10-16-2020
151,Albertus Magnus College,1,New Haven,Connecticut,10-16-2020
152,Central Connecticut State University,87,New Britain,Connecticut,10-16-2020
153,Connecticut College,11,New London,Connecticut,10-16-2020
154,Eastern Connecticut State University,19,Windham,Connecticut,10-16-2020
155,Fairfield University,119,Fairfield,Connecticut,10-16-2020
156,Quinnipiac University,11,Hamden,Connecticut,10-16-2020
157,Sacred Heart University,283,Fairfield,Connecticut,10-16-2020
158,Southern Connecticut State University,20,New Haven,Connecticut,10-16-2020
159,Trinity College,28,Hartford,Connecticut,10-16-2020
160,United States Coast Guard Academy,9,New London,Connecticut,10-16-2020
161,University of Bridgeport,6,Bridgeport,Connecticut,10-16-2020
162,University of Connecticut*,300,Storrs,Connecticut,10-16-2020
163,University of Hartford,41,West Hartford,Connecticut,10-16-2020
164,University of New Haven,5,West Haven,Connecticut,10-16-2020
165,University of Saint Joseph,2,West Hartford,Connecticut,10-16-2020
166,Wesleyan University,9,Middletown,Connecticut,10-16-2020
167,Western Connecticut State University,23,Danbury,Connecticut,10-16-2020
168,Yale University,175,New Haven,Connecticut,10-16-2020
169,Delaware State University,54,Dover,Delaware,10-16-2020
170,Delaware Technical Community College Dover,4,Dover,Delaware,10-16-2020
171,Delaware Technical Community College Georgetown,35,Georgetown,Delaware,10-16-2020
172,Delaware Technical Community College Stanton,10,Stanton,Delaware,10-16-2020
173,University of Delaware,388,Newark,Delaware,10-16-2020
174,Wesley College,12,Dover,Delaware,10-16-2020
175,AdventHealth University,1,Orlando,Florida,10-16-2020
176,American Institute of Beauty,1,Largo,Florida,10-16-2020
177,Barry University,1,Miami,Florida,10-16-2020
178,Bethune-Cookman University,1,Daytona Beach,Florida,10-16-2020
179,Broward College,49,Fort Lauderdale,Florida,10-16-2020
180,Chipola College,3,Marianna,Florida,10-16-2020
181,City College at Gainesville,1,Gainesville,Florida,10-16-2020
182,College of Central Florida,35,Ocala,Florida,10-16-2020
183,Daytona State College,53,Daytona Beach,Florida,10-16-2020
184,Eastern Florida State College,11,Cocoa,Florida,10-16-2020
185,Eckerd College,3,Saint Petersburg,Florida,10-16-2020
186,Embry-Riddle Aeronautical University at Daytona Beach,52,Daytona Beach,Florida,10-16-2020
187,Flagler College,59,St. Augustine,Florida,10-16-2020
188,Florida A&M University,91,Tallahassee,Florida,10-16-2020
189,Florida Atlantic University,180,Boca Raton,Florida,10-16-2020
190,Florida Career College at Tampa,1,Tampa,Florida,10-16-2020
191,Florida College,30,Temple Terrace,Florida,10-16-2020
192,Florida Gulf Coast University,175,Fort Myers,Florida,10-16-2020
193,Florida Institute of Recording Sound and Technology,1,Orlando,Florida,10-16-2020
194,Florida Institute of Technology,25,Melbourne,Florida,10-16-2020
195,Florida International University,153,Miami,Florida,10-16-2020
196,Florida Memorial University,2,Miami Gardens,Florida,10-16-2020
197,Florida Polytechnic University,10,Lakeland,Florida,10-16-2020
198,Florida SouthWestern State College,9,Fort Myers,Florida,10-16-2020
199,Florida Southern College,20,Lakeland,Florida,10-16-2020
200,Florida State College at Jacksonville,23,Jacksonville,Florida,10-16-2020
201,Florida State University,"1,656",Tallahassee,Florida,10-16-2020
202,Fortis Institute at Port Saint Lucie,1,Port Saint Lucie,Florida,10-16-2020
203,Gulf Coast State College,39,Panama City,Florida,10-16-2020
204,Gwinnett Institute,1,Orlando,Florida,10-16-2020
205,HCI College,1,West Palm Beach,Florida,10-16-2020
206,Hillsborough Community College,12,Tampa,Florida,10-16-2020
207,Indian River State College,29,Fort Pierce,Florida,10-16-2020
208,Jacksonville University,35,Jacksonville,Florida,10-16-2020
209,Keiser University at Fort Myers,1,Fort Myers,Florida,10-16-2020
210,Keiser University at Melbourne,2,Melbourne,Florida,10-16-2020
211,Keiser University at West Palm Beach,1,West Palm Beach,Florida,10-16-2020
212,Lynn University,29,Boca Raton,Florida,10-16-2020
213,Miami Dade College,2,Miami,Florida,10-16-2020
214,New College of Florida,2,Sarasota,Florida,10-16-2020
215,North Florida College,6,Madison,Florida,10-16-2020
216,Northwest Florida State College,15,Niceville,Florida,10-16-2020
217,Nova Southeastern University,1,Fort Lauderdale,Florida,10-16-2020
218,Palm Beach Atlantic University,35,West Palm Beach,Florida,10-16-2020
219,Palm Beach State College,39,Lake Worth,Florida,10-16-2020
220,Pasco-Hernando State College,5,New Port Richey,Florida,10-16-2020
221,Pensacola State College,32,Pensacola,Florida,10-16-2020
222,Polk State College,31,Winter Haven,Florida,10-16-2020
223,Rasmussen College at Fort Myers,1,Fort Myers,Florida,10-16-2020
224,Rollins College,9,Winter Park,Florida,10-16-2020
225,Saint Leo University,25,Saint Leo,Florida,10-16-2020
226,Santa Fe College,25,Gainesville,Florida,10-16-2020
227,Seminole State College of Florida,10,Sanford,Florida,10-16-2020
228,South Florida State College,22,Avon Park,Florida,10-16-2020
229,Southeastern College at West Palm Beach,1,West Palm Beach,Florida,10-16-2020
230,Southeastern University,3,Lakeland,Florida,10-16-2020
231,St. Johns River State College,15,Palatka,Florida,10-16-2020
232,St. Petersburg College,28,St. Petersburg,Florida,10-16-2020
233,St. Thomas University,3,Miami Gardens,Florida,10-16-2020
234,"State College of Florida, Manatee-Sarasota",34,Bradenton,Florida,10-16-2020
235,Stetson University,98,DeLand,Florida,10-16-2020
236,Tallahassee Community College,157,Tallahassee,Florida,10-16-2020
237,The College of the Florida Keys,6,Key West,Florida,10-16-2020
238,University of Central Florida,"1,210",Orlando,Florida,10-16-2020
239,University of Florida,"2,908",Gainesville,Florida,10-16-2020
240,University of Miami*,479,Miami,Florida,10-16-2020
241,University of North Florida,114,Jacksonville,Florida,10-16-2020
242,University of South Florida*,550,Tampa,Florida,10-16-2020
243,University of South Florida Sarasota-Manatee,7,Sarasota,Florida,10-16-2020
244,"University of South Florida, St. Petersburg",16,St. Petersburg,Florida,10-16-2020
245,University of Tampa,315,Tampa,Florida,10-16-2020
246,University of West Florida,131,Pensacola,Florida,10-16-2020
247,Valencia College,28,Orlando,Florida,10-16-2020
248,Webber International University,1,Babson Park,Florida,10-16-2020
249,Abraham Baldwin Agricultural College,35,Tifton,Georgia,10-16-2020
250,Agnes Scott College,1,Decatur,Georgia,10-16-2020
251,Albany State University,63,Albany,Georgia,10-16-2020
252,Augusta University,209,Augusta,Georgia,10-16-2020
253,Berry College,178,Mount Berry,Georgia,10-16-2020
254,Brenau University,45,Gainesville,Georgia,10-16-2020
255,Clayton State University,70,Morrow,Georgia,10-16-2020
256,College of Coastal Georgia,58,Brunswick,Georgia,10-16-2020
257,Columbus State University,62,Columbus,Georgia,10-16-2020
258,Covenant College,15,Lookout Mountain,Georgia,10-16-2020
259,Dalton State College,32,Dalton,Georgia,10-16-2020
260,East Georgia State College,45,Swainsboro,Georgia,10-16-2020
261,Emmanuel College,11,Franklin Springs,Georgia,10-16-2020
262,Emory University,178,Atlanta,Georgia,10-16-2020
263,Fort Valley State University,39,Fort Valley,Georgia,10-16-2020
264,Georgia College & State University,724,Milledgeville,Georgia,10-16-2020
265,Georgia Gwinnett College,96,Lawrenceville,Georgia,10-16-2020
266,Georgia Highlands College,46,Rome,Georgia,10-16-2020
267,Georgia Institute of Technology,929,Atlanta,Georgia,10-16-2020
268,Georgia Military College,1,Milledgeville,Georgia,10-16-2020
269,Georgia Southern University,"1,178",Statesboro,Georgia,10-16-2020
270,Georgia Southwestern State University,41,Americus,Georgia,10-16-2020
271,Georgia State University,197,Atlanta,Georgia,10-16-2020
272,Gordon State College,17,Barnesville,Georgia,10-16-2020
273,Kennesaw State University,353,Kennesaw,Georgia,10-16-2020
274,LaGrange College,18,LaGrange,Georgia,10-16-2020
275,Mercer University,259,Macon,Georgia,10-16-2020
276,Middle Georgia State University,163,Macon,Georgia,10-16-2020
277,Oglethorpe University,3,Atlanta,Georgia,10-16-2020
278,Savannah State University,35,Savannah,Georgia,10-16-2020
279,South Georgia State College,31,Douglas,Georgia,10-16-2020
280,University of Georgia,"3,888",Athens,Georgia,10-16-2020
281,University of North Georgia,485,Dahlonega,Georgia,10-16-2020
282,University of West Georgia,178,Carrollton,Georgia,10-16-2020
283,Valdosta State University,118,Valdosta,Georgia,10-16-2020
284,Wesleyan College,22,Macon,Georgia,10-16-2020
285,Hawaii Pacific University,1,Honolulu,Hawaii,10-16-2020
286,Kapiolani Community College,3,Honolulu,Hawaii,10-16-2020
287,Leeward Community College,3,Pearl City,Hawaii,10-16-2020
288,University of Hawaii Maui College,1,Kahului,Hawaii,10-16-2020
289,University of Hawaii at Hilo,2,Hilo,Hawaii,10-16-2020
290,University of Hawaii at Manoa,22,Honolulu,Hawaii,10-16-2020
291,Boise State University,400,Boise,Idaho,10-16-2020
292,Brigham Young University-Idaho,71,Rexburg,Idaho,10-16-2020
293,College of Idaho,29,Caldwell,Idaho,10-16-2020
294,College of Southern Idaho,45,Twin Falls,Idaho,10-16-2020
295,Idaho State University,148,Pocatello,Idaho,10-16-2020
296,Lewis-Clark State College,12,Lewiston,Idaho,10-16-2020
297,North Idaho College,17,Coeur d'Alene,Idaho,10-16-2020
298,Northwest Nazarene University,12,Nampa,Idaho,10-16-2020
299,University of Idaho,307,Moscow,Idaho,10-16-2020
300,Augustana College,14,Rock Island,Illinois,10-16-2020
301,Aurora University,1,Aurora,Illinois,10-16-2020
302,Benedictine University,7,Lisle,Illinois,10-16-2020
303,Bradley University,338,Peoria,Illinois,10-16-2020
304,Chicago State University,17,Chicago,Illinois,10-16-2020
305,Columbia College Chicago,3,Chicago,Illinois,10-16-2020
306,Concordia University Chicago,2,River Forest,Illinois,10-16-2020
307,DePaul University,10,Chicago,Illinois,10-16-2020
308,Dominican University,28,River Forest,Illinois,10-16-2020
309,Eastern Illinois University,305,Charleston,Illinois,10-16-2020
310,Elmhurst University,23,Elmhurst,Illinois,10-16-2020
311,Eureka College,23,Eureka,Illinois,10-16-2020
312,Governors State University,14,University Park,Illinois,10-16-2020
313,Greenville University,20,Greenville,Illinois,10-16-2020
314,Illinois College,6,Jacksonville,Illinois,10-16-2020
315,Illinois Institute of Technology,55,Chicago,Illinois,10-16-2020
316,Illinois State University,"1,384",Normal,Illinois,10-16-2020
317,Illinois Wesleyan University,122,Bloomington,Illinois,10-16-2020
318,Kaskaskia College,39,Centralia,Illinois,10-16-2020
319,Knox College,22,Galesburg,Illinois,10-16-2020
320,Lake Forest College,6,Lake Forest,Illinois,10-16-2020
321,Lake Land College,37,Mattoon,Illinois,10-16-2020
322,Lewis University,39,Romeoville,Illinois,10-16-2020
323,Loyola University Chicago,15,Chicago,Illinois,10-16-2020
324,McKendree University,96,Lebanon,Illinois,10-16-2020
325,Midwestern University at Downers Grove,38,Downers Grove,Illinois,10-16-2020
326,Millikin University,45,Decatur,Illinois,10-16-2020
327,Monmouth College,26,Monmouth,Illinois,10-16-2020
328,Moody Bible Institute,10,Chicago,Illinois,10-16-2020
329,North Central College,33,Naperville,Illinois,10-16-2020
330,North Park University,25,Chicago,Illinois,10-16-2020
331,Northeastern Illinois University,56,Chicago,Illinois,10-16-2020
332,Northern Illinois University,301,Dekalb,Illinois,10-16-2020
333,Northwestern University,146,Evanston,Illinois,10-16-2020
334,Olivet Nazarene University,23,Bourbonnais,Illinois,10-16-2020
335,Parkland College,55,Champaign,Illinois,10-16-2020
336,Principia College,2,Elsah,Illinois,10-16-2020
337,Quincy University,89,Quincy,Illinois,10-16-2020
338,Rockford University,29,Rockford,Illinois,10-16-2020
339,Saint Xavier University,34,Chicago,Illinois,10-16-2020
340,School of the Art Institute of Chicago,8,Chicago,Illinois,10-16-2020
341,Southeastern Illinois College,9,Harrisburg,Illinois,10-16-2020
342,Southern Illinois University Carbondale,97,Carbondale,Illinois,10-16-2020
343,Southern Illinois University Edwardsville,120,Edwardsville,Illinois,10-16-2020
344,University of Chicago,79,Chicago,Illinois,10-16-2020
345,University of Illinois Springfield,22,Springfield,Illinois,10-16-2020
346,University of Illinois Urbana-Champaign,"2,621",Champaign,Illinois,10-16-2020
347,University of Illinois at Chicago,171,Chicago,Illinois,10-16-2020
348,Western Illinois University,145,Macomb,Illinois,10-16-2020
349,Wheaton College,4,Wheaton,Illinois,10-16-2020
350,Anderson University,8,Anderson,Indiana,10-16-2020
351,Ball State University,"1,027",Muncie,Indiana,10-16-2020
352,Butler University,151,Indianapolis,Indiana,10-16-2020
353,DePauw University,22,Greencastle,Indiana,10-16-2020
354,Earlham College,14,Richmond,Indiana,10-16-2020
355,Franklin College,4,Franklin,Indiana,10-16-2020
356,Goshen College,12,Goshen,Indiana,10-16-2020
357,Indiana State University,99,Terre Haute,Indiana,10-16-2020
358,Indiana University Bloomington,"2,917",Bloomington,Indiana,10-16-2020
359,Indiana University East,15,Richmond,Indiana,10-16-2020
360,Indiana University Kokomo,10,Kokomo,Indiana,10-16-2020
361,Indiana University Northwest,3,Gary,Indiana,10-16-2020
362,Indiana University South Bend,10,South Bend,Indiana,10-16-2020
363,Indiana University Southeast,7,New Albany,Indiana,10-16-2020
364,Indiana University-Purdue University Indianapolis,80,Indianapolis,Indiana,10-16-2020
365,Manchester University,12,North Manchester,Indiana,10-16-2020
366,Marian University,64,Indianapolis,Indiana,10-16-2020
367,Purdue University,"1,008",West Lafayette,Indiana,10-16-2020
368,Purdue University Fort Wayne,62,Fort Wayne,Indiana,10-16-2020
369,Purdue University Northwest,58,Hammond,Indiana,10-16-2020
370,Rose-Hulman Institute of Technology,40,Terre Haute,Indiana,10-16-2020
371,Saint Mary's College,39,Notre Dame,Indiana,10-16-2020
372,Taylor University,3,Upland,Indiana,10-16-2020
373,Trine University,81,Angola,Indiana,10-16-2020
374,University of Evansville,69,Evansville,Indiana,10-16-2020
375,University of Indianapolis,76,Indianapolis,Indiana,10-16-2020
376,University of Notre Dame,787,Notre Dame,Indiana,10-16-2020
377,University of Southern Indiana,187,Evansville,Indiana,10-16-2020
378,Valparaiso University,36,Valparaiso,Indiana,10-16-2020
379,Vincennes University,11,Vincennes,Indiana,10-16-2020
380,Wabash College,14,Crawfordsville,Indiana,10-16-2020
381,Buena Vista University,43,Storm Lake,Iowa,10-16-2020
382,Central College,24,Pella,Iowa,10-16-2020
383,Clarke University,41,Dubuque,Iowa,10-16-2020
384,Coe College,36,Cedar Rapids,Iowa,10-16-2020
385,Cornell College,5,Mount Vernon,Iowa,10-16-2020
386,Dordt University,28,Sioux Center,Iowa,10-16-2020
387,Drake University,7,Des Moines,Iowa,10-16-2020
388,Graceland University,12,Lamoni,Iowa,10-16-2020
389,Grinnell College,4,Grinnell,Iowa,10-16-2020
390,Iowa State University,"1,340",Ames,Iowa,10-16-2020
391,Iowa Wesleyan University,103,Mount Pleasant,Iowa,10-16-2020
392,Luther College,7,Decorah,Iowa,10-16-2020
393,Morningside College,46,Sioux City,Iowa,10-16-2020
394,Northwestern College,78,Orange City,Iowa,10-16-2020
395,Saint Ambrose University,27,Davenport,Iowa,10-16-2020
396,Simpson College,16,Indianola,Iowa,10-16-2020
397,University of Dubuque,50,Dubuque,Iowa,10-16-2020
398,University of Iowa,"2,109",Iowa City,Iowa,10-16-2020
399,University of Northern Iowa,178,Cedar Falls,Iowa,10-16-2020
400,Upper Iowa University,52,Fayette,Iowa,10-16-2020
401,Wartburg College,69,Waverly,Iowa,10-16-2020
402,William Penn University,30,Oskaloosa,Iowa,10-16-2020
403,Allen County Community College,16,Iola,Kansas,10-16-2020
404,Baker University,72,Baldwin City,Kansas,10-16-2020
405,Benedictine College,98,Atchison,Kansas,10-16-2020
406,Bethel College,64,North Newton,Kansas,10-16-2020
407,Butler Community College,73,El Dorado,Kansas,10-16-2020
408,Central Christian College,10,McPherson,Kansas,10-16-2020
409,Dodge City Community College,13,Dodge City,Kansas,10-16-2020
410,Emporia State University,60,Emporia,Kansas,10-16-2020
411,Fort Hays State University,284,Hays,Kansas,10-16-2020
412,Hesston College,7,Hesston,Kansas,10-16-2020
413,Hutchinson Community College,12,Hutchinson,Kansas,10-16-2020
414,Johnson County Community College,82,Overland Park,Kansas,10-16-2020
415,Kansas State University,811,Manhattan,Kansas,10-16-2020
416,Kansas Wesleyan University,13,Salina,Kansas,10-16-2020
417,Labette Community College,5,Parsons,Kansas,10-16-2020
418,Newman University,22,Whichita,Kansas,10-16-2020
419,Pittsburg State University,170,Pittsburg,Kansas,10-16-2020
420,Southwestern College,54,Winfield,Kansas,10-16-2020
421,Sterling College,1,Sterling,Kansas,10-16-2020
422,University of Kansas,"1,009",Lawrence,Kansas,10-16-2020
423,Washburn University,63,Topeka,Kansas,10-16-2020
424,Wichita State University,52,Wichita,Kansas,10-16-2020
425,Alice Lloyd College,57,Pippa Passes,Kentucky,10-16-2020
426,Asbury University,7,Wilmore,Kentucky,10-16-2020
427,Ashland Community and Technical College,4,Ashland,Kentucky,10-16-2020
428,Bellarmine University,103,Louisville,Kentucky,10-16-2020
429,Berea College,8,Berea,Kentucky,10-16-2020
430,Big Sandy Community and Technical College,5,Prestonsburg,Kentucky,10-16-2020
431,Bluegrass Community and Technical College,84,Lexington,Kentucky,10-16-2020
432,Campbellsville University,30,Campbellsville,Kentucky,10-16-2020
433,Centre College,21,Danville,Kentucky,10-16-2020
434,Eastern Kentucky University,189,Richmond,Kentucky,10-16-2020
435,Elizabethtown Community and Technical College,17,Elizabethtown,Kentucky,10-16-2020
436,Gateway Community and Technical College,6,Florence,Kentucky,10-16-2020
437,Georgetown College,28,Georgetown,Kentucky,10-16-2020
438,Hazard Community and Technical College,3,Hazard,Kentucky,10-16-2020
439,Henderson Community College,13,Henderson,Kentucky,10-16-2020
440,Hopkinsville Community College,8,Hopkinsville,Kentucky,10-16-2020
441,Jefferson Community and Technical College,37,Louisville,Kentucky,10-16-2020
442,Kentucky State University,94,Frankfort,Kentucky,10-16-2020
443,Kentucky Wesleyan College,19,Owensboro,Kentucky,10-16-2020
444,Lexington Theological Seminary,1,Lexington,Kentucky,10-16-2020
445,Lindsey Wilson College,40,Columbia,Kentucky,10-16-2020
446,Madisonville Community College,10,Madisonville,Kentucky,10-16-2020
447,Maysville Community and Technical College,3,Maysville,Kentucky,10-16-2020
448,Midway University,14,Midway,Kentucky,10-16-2020
449,Morehead State University,78,Morehead,Kentucky,10-16-2020
450,Murray State University,181,Murray,Kentucky,10-16-2020
451,Northern Kentucky University,8,Highland Heights,Kentucky,10-16-2020
452,Owensboro Community and Technical College,8,Owensboro,Kentucky,10-16-2020
453,Somerset Community College,14,Somerset,Kentucky,10-16-2020
454,Southcentral Kentucky Community and Technical College,35,Bowling Green,Kentucky,10-16-2020
455,Southeast Kentucky Community and Technical College,7,Cumberland,Kentucky,10-16-2020
