End Date,Source,Lat,Lon,Title,Location,Plan,Details,Date Reported,Link,Ongoing Public Health Situation,State Regulations,Testing Availibility/Turnaround,Transmission on College,Student Health/Safety,Other,Reversal Count,ZIP,FIPS,Classes Start Date,Days until Shift,Cases on Flip,Clusters on Flip,,,,
11/18/2020,[Source](https://wooster.edu/info/fall-2020-guide/updates/10-16/),40.81046,-81.934674,The College of Wooster,"Wooster, OH",Expanded in-person instruction,end of semester,10/16/2020,https://wooster.edu/info/fall-2020-guide/updates/10-16/,,,,,,,4,,,,,,,,,,
10/16/2020,[Source](https://www.wooster.edu/info/fall-2020-guide/updates/10-15/),40.81046,-81.934674,The College of Wooster,"Wooster, OH",Extended suspension of in-person instruction,1 week,10/15/2020,https://www.wooster.edu/info/fall-2020-guide/updates/10-15/,,,,,,,4,,,,,,,,,,
11/18/2020,[Source](http://newhaven.edu/reopening/notifications-and-faq.php),41.291314,-72.961472,University of New Haven,"New Haven, CT",Suspended in-person instruction,1 week,10/12/2020,http://newhaven.edu/reopening/notifications-and-faq.php,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.iona.edu/offices/health-wellness-safety/information-coronavirus-covid-19/communications),40.925725,-73.788046,Iona College,"New Rochelle, NY",Suspended in-person instruction,2 weeks,10/11/2020,https://www.iona.edu/offices/health-wellness-safety/information-coronavirus-covid-19/communications,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.presby.edu/campus-life/campus-health-notice-novel-coronavirus/past-covid-19-communications/),34.465834,-81.87448,Presbyterian College,"Clinton, SC",Suspended in-person instruction,2 weeks,10/11/2020,https://www.presby.edu/campus-life/campus-health-notice-novel-coronavirus/past-covid-19-communications/,,,,,,,1,,,,,,,,,,
10/16/2020,[Source](https://wooster.edu/info/fall-2020-guide/updates/10-10/index.php),40.81046,-81.934674,The College of Wooster,"Wooster, OH",Suspended in-person instruction,1 week,10/11/2020,https://wooster.edu/info/fall-2020-guide/updates/10-10/index.php,,,,,,,4,,,,,,,,,,
11/18/2020,[Source](https://brevard.edu/covid-19-updates/),35.236763,-82.729494,Brevard College,"Brevard, NC",Suspended in-person instruction,1 week,10/10/2020,https://brevard.edu/covid-19-updates/,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.fairfield.edu/undergraduate/student-life-and-services/health-and-wellness/health-center/emergencies/coronavirus/university-communications/index.html),41.157673,-73.255903,Fairfield University,"Fairfield, CT",Quarantine for off-campus students,2 weeks,10/9/2020,https://www.fairfield.edu/undergraduate/student-life-and-services/health-and-wellness/health-center/emergencies/coronavirus/university-communications/index.html,,,,,,,1,,,,,,,,,,
10/26/2020,[Source](https://www.keuka.edu/blog/keuka-college-transitioning-distancing-learning),42.615253,-77.090562,Keuka College,"Keuka, NY",Suspended in-person instruction,2 weeks,10/8/2020,https://www.keuka.edu/blog/keuka-college-transitioning-distancing-learning,,,,,,,2,,,,,,,,,,
11/18/2020,[Source](https://www2.lehigh.edu/news/10820-new-campus-wide-directive-and-covid-19-test-results),40.606822,-75.380236,Lehigh University,"Bethlehem, PA",Extended suspension of in-person instruction,2 weeks,10/8/2020,https://www2.lehigh.edu/news/10820-new-campus-wide-directive-and-covid-19-test-results,,,,,,,3,,,,,,,,,,
