End Date,Source,Lat,Lon,Title,Location,Plan,Details,Date Reported,Link,Ongoing Public Health Situation,State Regulations,Testing Availibility/Turnaround,Transmission on College,Student Health/Safety,Other,Reversal Count,ZIP,FIPS,Classes Start Date,Days until Shift,Cases on Flip,Clusters on Flip,,,,
11/18/2020,[Source](lamarcc.edu/coronavirus-information/),38.068886,-102.61614,Lamar Community College,"Lamar, CO",Suspended in-person instruction,2 weeks,11/10/2020,lamarcc.edu/coronavirus-information/,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.niagara.edu/forwardniagara),43.137279,-79.036689,Niagara University,"Lewiston, NY",Suspended in-person instruction,semester,11/10/2020,https://www.niagara.edu/forwardniagara,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.smumn.edu/about/covid-19-planning),44.044736,-91.695449,Saint Mary's University of Minnesota,"Winona, MN",Suspended in-person instruction,semester,11/10/2020,https://www.smumn.edu/about/covid-19-planning,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.valpo.edu/looking-forward/campus-messages/the-final-weeks-of-the-semester/),41.462239,-87.040172,Valparaiso University,"Valparaiso, IN",Suspended in-person instruction,semester,11/10/2020,https://www.valpo.edu/looking-forward/campus-messages/the-final-weeks-of-the-semester/,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.tompkinscortland.edu/college-info/fall-2020-reopening-plans),42.502006,-76.287586,Tompkins Cortland Community College,"Dryden, NY",Suspended in-person instruction,1 week,11/9/2020,https://www.tompkinscortland.edu/college-info/fall-2020-reopening-plans,,,,,,,3,,,,,,,,,,
11/18/2020,[Source](https://www.pueblocc.edu/COVID-19/),38.262124,-104.63626,Pueblo Community College,"Pueblo, CO",Suspended in-person instruction,semester,11/9/2020,https://www.pueblocc.edu/COVID-19/,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://highlandcc.edu/pages/covid-19),42.283344,-89.67342,Highland Community College,"Highland, KS",Suspended in-person instruction,Nov. 9-11,11/8/2020,https://highlandcc.edu/pages/covid-19,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.sacredheart.edu/offices--departments-directory/health-services/coronavirus/previous-community-updates/),41.220893,-73.243332,Sacred Heart University,"Fairfield, CT",Suspended in-person instruction,rest of semester,11/7/2020,https://www.sacredheart.edu/offices--departments-directory/health-services/coronavirus/previous-community-updates/,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.bethel.edu/news/articles/2020/november/bethel-alert-11-6-20),37.04127,-76.409526,Bethel College,"St. Paul, MN",Suspended in-person instruction,week,11/6/2020,https://www.bethel.edu/news/articles/2020/november/bethel-alert-11-6-20,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.lr.edu/coronavirus#fs-panel-21815),35.739968,-81.327598,Lenoir-Rhyne University,"Hickory, NC",Suspended in-person instruction,rest of semester,11/6/2020,https://www.lr.edu/coronavirus#fs-panel-21815,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.wells.edu/news/2020/11/6/wells-extends-campus-pause-additional-week),42.742943,-76.696028,Wells College,"Aurora, NY",Extended suspension of in-person instruction,thru Nov. 15,11/6/2020,https://www.wells.edu/news/2020/11/6/wells-extends-campus-pause-additional-week,,,,,,,2,,,,,,,,,,
11/18/2020,[Source](https://lincolncollege.edu/covid-19),40.155442,-89.36153,Lincoln College,"Lincoln, IL",Suspended in-person instruction,as of nov. 6,11/5/2020,https://lincolncollege.edu/covid-19,,,,,,,2,,,,,,,,,,
11/16/2020,[Source](http://www.westfield.ma.edu/safe-fall-opening),42.132698,-72.796503,Westfield State University,"Westfield, MA",Suspended in-person instruction,,11/5/2020,http://www.westfield.ma.edu/safe-fall-opening,,,,,,,3,,,,,,,,,,
11/18/2020,[Source](https://wheatoncollege.blog/student-life-events/student-affairs/move-to-remote-learning-and-new-campus-restrictions/),41.870176,-88.099643,Wheaton College,"Norton, MA",Suspended in-person instruction,as of Nov. 6,11/5/2020,https://wheatoncollege.blog/student-life-events/student-affairs/move-to-remote-learning-and-new-campus-restrictions/,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.monmouthcollege.edu/covid-19/cooldown-period/),40.914824,-90.63731,Monmouth College,"Monmouth, IL",Suspended in-person instruction,"Nov. 9, 2020",11/4/2020,https://www.monmouthcollege.edu/covid-19/cooldown-period/,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.qu.edu/today/11042020-covid-orange-level.html),41.418915,-72.894117,Quinnipiac University,"Hamden, CT",Suspended in-person instruction,rest of week,11/3/2020,https://www.qu.edu/today/11042020-covid-orange-level.html,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.smcvt.edu/return-to-campus/updates-and-community-messages/),44.494558,-73.167069,Saint Michael's College,"Colchester, VT",Extended suspension of in-person instruction,rest of semester,11/3/2020,https://www.smcvt.edu/return-to-campus/updates-and-community-messages/,,,,,,,2,,,,,,,,,,
11/6/2020,[Source](https://www.wells.edu/news/2020/11/3/wells-college-moving-remote-instruction-nov-3),42.742943,-76.696028,Wells College,"Aurora, NY",Suspended in-person instruction,rest of week,11/3/2020,https://www.wells.edu/news/2020/11/3/wells-college-moving-remote-instruction-nov-3,,,,,,,2,,,,,,,,,,
11/18/2020,[Source](https://www.assumption.edu/news-and-events/news/promoting-health-and-safety-campus-community),42.294226,-71.828991,Assumption University,"Worcester, MA",Suspended in-person instruction,1 week,10/30/2020,https://www.assumption.edu/news-and-events/news/promoting-health-and-safety-campus-community,,,,,,,2,,,,,,,,,,
11/18/2020,[Source](http://wordpress.lvc.edu/wordpress/lvcforward/2020/10/30/important-update-on-the-fall-semester-and-move-out-timing/),40.330604,-76.514431,Lebanon Valley College,"Annville, PA",Suspended in-person instruction,Starting Nov. 7,10/30/2020,http://wordpress.lvc.edu/wordpress/lvcforward/2020/10/30/important-update-on-the-fall-semester-and-move-out-timing/,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.cookman.edu/COVID-19%20Precautions-Fall%20Semester%20Conclusion%202020.pdf),29.207195,-81.032946,Bethune-Cookman University,"Daytona Beach, FL",Suspended in-person instruction,rest of semester,10/26/2020,https://www.cookman.edu/COVID-19%20Precautions-Fall%20Semester%20Conclusion%202020.pdf,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.keuka.edu/blog/keuka-college-complete-fall-2020-semester-remotely),42.615253,-77.090562,Keuka College,"Keuka, NY",Extended suspension of in-person instruction,thru semester,10/26/2020,https://www.keuka.edu/blog/keuka-college-complete-fall-2020-semester-remotely,,,,,,,2,,,,,,,,,,
11/3/2020,[Source](https://www.smcvt.edu/return-to-campus/updates-and-community-messages/),44.494558,-73.167069,Saint Michael's College,"Colchester, VT",Suspended in-person instruction,2 weeks,10/22/2020,https://www.smcvt.edu/return-to-campus/updates-and-community-messages/,,,,,,,2,,,,,,,,,,
11/18/2020,[Source](https://www.binghamton.edu/news/story/2719/binghamton-university-to-resume-in-person-classes),42.087868,-75.966889,Binghamton University,"Binghamton, NY",Resumed in-person instruction,Oct. 22,10/21/2020,https://www.binghamton.edu/news/story/2719/binghamton-university-to-resume-in-person-classes,,,,,,,2,,,,,,,,,,
11/18/2020,[Source](https://www.sjfc.edu/update/),43.116259,-77.513056,St. John Fisher College,"Rochester, NY",Suspended in-person instruction,Rest of semester,10/20/2020,https://www.sjfc.edu/update/,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.suny.edu/suny-news/press-releases/10-20/10-20-20/cortland-pause-extended.html),42.598022,-76.188655,SUNY Cortland,"Cortland, NY",Extended suspension of in-person instruction,2 weeks,10/20/2020,https://www.suny.edu/suny-news/press-releases/10-20/10-20-20/cortland-pause-extended.html,,,,,,,2,,,,,,,,,,
11/18/2020,[Source](https://record.umich.edu/articles/more-undergrad-courses-going-online-after-stay-in-place-order/),42.275921,-83.742769,University of Michigan-Ann Arbor,"Ann Arbor, MI",Suspended in-person instruction,2 weeks,10/20/2020,https://record.umich.edu/articles/more-undergrad-courses-going-online-after-stay-in-place-order/,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.monmouth.edu/covid-19/resuming-in-person-and-hybrid-instruction-effective-october-21/),40.280066,-74.006447,Monmouth University,"West Long Branch, NJ",Resumed in-person instruction,,10/16/2020,https://www.monmouth.edu/covid-19/resuming-in-person-and-hybrid-instruction-effective-october-21/,,,,,,,2,,,,,,,,,,
